date,name,price,,
2016-7-4,98%硫酸,300,2016-7-4,303
2016-7-4,98%硫酸,303,2016-7-5,303
2016-7-11,98%硫酸,300,2016-7-6,303
2016-7-11,98%硫酸,303,2016-7-7,303
2016-7-18,98%硫酸,300,2016-7-8,303
2016-7-25,98%硫酸,300,2016-7-9,303
2016-8-1,98%硫酸,260,2016-7-10,303
2016-8-8,98%硫酸,276,2016-7-11,303
2016-8-8,98%硫酸,260,2016-7-12,303
2016-8-15,98%硫酸,260,2016-7-13,303
2016-8-22,98%硫酸,260,2016-7-14,303
2016-8-29,98%硫酸,262,2016-7-15,303
2016-9-5,98%硫酸,262,2016-7-16,303
2016-9-19,98%硫酸,262,2016-7-17,303
2016-9-26,98%硫酸,90,2016-7-18,300
2016-10-3,98%硫酸,263,2016-7-19,300
2016-10-31,98%硫酸,282,2016-7-20,300
2016-10-31,98%硫酸,270,2016-7-21,300
2016-10-31,98%硫酸,120,2016-7-22,300
2016-11-7,98%硫酸,282,2016-7-23,300
2016-11-14,98%硫酸,270,2016-7-24,300
2016-11-14,98%硫酸,282,2016-7-25,300
2016-11-21,98%硫酸,270,2016-7-26,300
2016-11-21,98%硫酸,282,2016-7-27,300
2016-11-28,98%硫酸,280,2016-7-28,300
2016-12-5,98%硫酸,305,2016-7-29,300
2016-12-5,98%硫酸,330,2016-7-30,300
2016-12-5,98%硫酸,280,2016-7-31,300
2016-12-12,98%硫酸,305,2016-8-1,260
2016-12-12,98%硫酸,280,2016-8-2,260
2016-12-19,98%硫酸,330,2016-8-3,260
2016-12-19,98%硫酸,280,2016-8-4,260
2016-12-26,98%硫酸,330,2016-8-5,260
2016-12-26,98%硫酸,280,2016-8-6,260
2017-1-2,98%硫酸,367,2016-8-7,260
2017-1-2,98%硫酸,330,2016-8-8,260
2017-1-9,98%硫酸,305,2016-8-9,260
2017-1-9,98%硫酸,367,2016-8-10,260
2017-1-9,98%硫酸,330,2016-8-11,260
2017-1-16,98%硫酸,275,2016-8-12,260
2017-1-16,98%硫酸,367,2016-8-13,260
2017-1-16,98%硫酸,260,2016-8-14,260
2017-1-16,98%硫酸,330,2016-8-15,260
2017-1-23,98%硫酸,330,2016-8-16,260
2017-1-23,98%硫酸,275,2016-8-17,260
2017-1-30,98%硫酸,275,2016-8-18,260
2017-1-30,98%硫酸,330,2016-8-19,260
2017-2-6,98%硫酸,330,2016-8-20,260
2017-2-6,98%硫酸,394,2016-8-21,260
2017-2-13,98%硫酸,330,2016-8-22,260
2017-2-13,98%硫酸,394,2016-8-23,260
2017-2-13,98%硫酸,300,2016-8-24,260
2017-2-20,98%硫酸,330,2016-8-25,260
2017-2-20,98%硫酸,394,2016-8-26,260
2017-2-20,98%硫酸,300,2016-8-27,260
2017-2-27,98%硫酸,300,2016-8-28,260
2017-2-27,98%硫酸,330,2016-8-29,262
2017-2-27,98%硫酸,389,2016-8-30,262
2017-3-6,98%硫酸,330,2016-8-31,262
2017-3-6,98%硫酸,389,2016-9-1,262
2017-3-13,98%硫酸,300,2016-9-2,262
2017-3-13,98%硫酸,330,2016-9-3,262
2017-3-20,98%硫酸,330,2016-9-4,262
2017-3-20,98%硫酸,389,2016-9-5,262
2017-3-27,98%硫酸,330,2016-9-6,262
2017-4-3,98%硫酸,300,2016-9-7,262
2017-4-3,98%硫酸,220,2016-9-8,262
2017-4-3,98%硫酸,200,2016-9-9,262
2017-4-3,98%硫酸,225,2016-9-10,262
2017-4-3,98%硫酸,210,2016-9-11,262
2017-4-10,98%硫酸,300,2016-9-12,262
2017-4-10,98%硫酸,220,2016-9-13,262
2017-4-17,98%硫酸,220,2016-9-14,262
2017-4-24,98%硫酸,377,2016-9-15,262
2017-5-1,98%硫酸,358,2016-9-16,262
2017-5-1,98%硫酸,270,2016-9-17,262
2017-5-8,98%硫酸,358,2016-9-18,262
2017-5-8,98%硫酸,270,2016-9-19,262
2017-5-15,98%硫酸,358,2016-9-20,262
2017-5-15,98%硫酸,270,2016-9-21,262
2017-5-22,98%硫酸,358,2016-9-22,262
2017-5-22,98%硫酸,270,2016-9-23,262
2017-5-29,98%硫酸,270,2016-9-24,262
2017-5-29,98%硫酸,341,2016-9-25,262
2017-6-5,98%硫酸,341,2016-9-26,90
2017-6-5,98%硫酸,270,2016-9-27,90
2017-6-12,98%硫酸,341,2016-9-28,90
2017-6-12,98%硫酸,270,2016-9-29,90
2017-6-19,98%硫酸,341,2016-9-30,90
2017-6-19,98%硫酸,270,2016-10-1,90
2017-6-26,98%硫酸,341,2016-10-2,90
2017-7-3,98%硫酸,270,2016-10-3,263
2017-7-3,98%硫酸,321,2016-10-4,263
2017-7-10,98%硫酸,270,2016-10-5,263
2017-7-10,98%硫酸,321,2016-10-6,263
2017-7-31,98%硫酸,313,2016-10-7,263
2017-7-31,98%硫酸,300,2016-10-8,263
2017-8-7,98%硫酸,300,2016-10-9,263
2017-8-14,98%硫酸,313,2016-10-10,263
2017-8-14,98%硫酸,300,2016-10-11,263
2017-8-21,98%硫酸,313,2016-10-12,263
2017-8-21,98%硫酸,300,2016-10-13,263
2017-8-21,98%硫酸,310,2016-10-14,263
2017-9-4,98%硫酸,340,2016-10-15,263
2017-9-4,98%硫酸,342,2016-10-16,263
2017-9-11,98%硫酸,342,2016-10-17,263
2017-9-11,98%硫酸,340,2016-10-18,263
2017-9-18,98%硫酸,340,2016-10-19,263
2017-9-25,98%硫酸,342,2016-10-20,263
2017-9-25,98%硫酸,340,2016-10-21,263
2017-10-2,98%硫酸,340,2016-10-22,263
2017-10-9,98%硫酸,340,2016-10-23,263
2017-10-9,98%硫酸,355,2016-10-24,263
2017-10-16,98%硫酸,340,2016-10-25,263
2017-10-16,98%硫酸,355,2016-10-26,263
2017-10-30,98%硫酸,290,2016-10-27,263
2017-11-6,98%硫酸,290,2016-10-28,263
2017-11-6,98%硫酸,360,2016-10-29,263
2017-11-6,98%硫酸,358,2016-10-30,263
2017-11-6,98%硫酸,400,2016-10-31,120
2017-11-13,98%硫酸,400,2016-11-1,120
2017-11-20,98%硫酸,360,2016-11-2,120
2017-11-27,98%硫酸,400,2016-11-3,120
2017-11-27,98%硫酸,396,2016-11-4,120
2017-12-4,98%硫酸,400,2016-11-5,120
2017-12-4,98%硫酸,396,2016-11-6,120
2017-12-11,98%硫酸,400,2016-11-7,282
2017-12-18,98%硫酸,396,2016-11-8,282
2017-12-18,98%硫酸,400,2016-11-9,282
2018-1-1,98%硫酸,376,2016-11-10,282
2018-1-1,98%硫酸,430,2016-11-11,282
2018-1-8,98%硫酸,365,2016-11-12,282
2018-1-8,98%硫酸,430,2016-11-13,282
2018-1-15,98%硫酸,365,2016-11-14,282
2018-1-15,98%硫酸,385,2016-11-15,282
2018-1-15,98%硫酸,430,2016-11-16,282
2018-1-15,98%硫酸,477,2016-11-17,282
2018-1-22,98%硫酸,376,2016-11-18,282
2018-1-22,98%硫酸,430,2016-11-19,282
2018-1-29,98%硫酸,410,2016-11-20,282
2018-2-5,98%硫酸,401,2016-11-21,282
2018-2-5,98%硫酸,410,2016-11-22,282
2018-2-12,98%硫酸,410,2016-11-23,282
2018-2-19,98%硫酸,410,2016-11-24,282
2018-2-26,98%硫酸,400,2016-11-25,282
2018-2-26,98%硫酸,370,2016-11-26,282
2018-3-5,98%硫酸,370,2016-11-27,282
2018-3-12,98%硫酸,364,2016-11-28,280
2018-3-12,98%硫酸,400,2016-11-29,280
2018-3-19,98%硫酸,400,2016-11-30,280
2018-3-19,98%硫酸,370,2016-12-1,280
2018-3-26,98%硫酸,400,2016-12-2,280
2018-3-26,98%硫酸,380,2016-12-3,280
2018-4-2,98%硫酸,380,2016-12-4,280
2018-4-9,98%硫酸,356,2016-12-5,280
2018-4-9,98%硫酸,380,2016-12-6,280
2018-4-16,98%硫酸,350,2016-12-7,280
2018-4-23,98%硫酸,380,2016-12-8,280
2018-4-30,98%硫酸,334,2016-12-9,280
2018-4-30,98%硫酸,360,2016-12-10,280
2018-5-7,98%硫酸,327,2016-12-11,280
2018-5-7,98%硫酸,360,2016-12-12,280
2018-5-14,98%硫酸,210,2016-12-13,280
2018-5-14,98%硫酸,360,2016-12-14,280
2018-5-21,98%硫酸,334,2016-12-15,280
2018-5-21,98%硫酸,360,2016-12-16,280
2018-5-28,98%硫酸,360,2016-12-17,280
2018-6-11,98%硫酸,278,2016-12-18,280
2018-6-11,98%硫酸,340,2016-12-19,280
2018-6-18,98%硫酸,272,2016-12-20,280
2018-6-18,98%硫酸,340,2016-12-21,280
2018-6-25,98%硫酸,340,2016-12-22,280
2018-7-2,98%硫酸,320,2016-12-23,280
2018-7-9,98%硫酸,320,2016-12-24,280
2018-7-9,98%硫酸,265,2016-12-25,280
2018-7-16,98%硫酸,320,2016-12-26,280
2018-7-23,98%硫酸,320,2016-12-27,280
2018-7-23,98%硫酸,259,2016-12-28,280
2018-7-30,98%硫酸,380,2016-12-29,280
2018-8-6,98%硫酸,380,2016-12-30,280
