date,name,price,,
2020-12-1,原料煤,1327.43,2020-12-1,1327.43
2022-2-1,原料煤,1334.656589,2020-12-2,1327.43
2022-9-1,原料煤,1224.322991,2020-12-3,1327.43
2022-11-1,原料煤,1224.322991,2020-12-4,1327.43
2022-12-1,原料煤,1420.35,2020-12-5,1327.43
2023-1-1,原料煤,1309.73,2020-12-6,1327.43
2023-2-1,原料煤,1267.26,2020-12-7,1327.43
2023-3-1,原料煤,1214.690265,2020-12-8,1327.43
2023-3-1,原料煤,1214.690265,2020-12-9,1327.43
2023-4-1,原料煤,1217.345133,2020-12-10,1327.43
2023-5-1,原料煤,1150.438053,2020-12-11,1327.43
2023-6-1,原料煤,1143.89,2020-12-12,1327.43
2023-7-1,原料煤,1081.946903,2020-12-13,1327.43
2023-8-1,原料煤,993.45,2020-12-14,1327.43
,,,2020-12-15,1327.43
,,,2020-12-16,1327.43
,,,2020-12-17,1327.43
,,,2020-12-18,1327.43
,,,2020-12-19,1327.43
,,,2020-12-20,1327.43
,,,2020-12-21,1327.43
,,,2020-12-22,1327.43
,,,2020-12-23,1327.43
,,,2020-12-24,1327.43
,,,2020-12-25,1327.43
,,,2020-12-26,1327.43
,,,2020-12-27,1327.43
,,,2020-12-28,1327.43
,,,2020-12-29,1327.43
,,,2020-12-30,1327.43
,,,2020-12-31,1327.43
,,,2021-1-1,1327.43
,,,2021-1-2,1327.43
,,,2021-1-3,1327.43
,,,2021-1-4,1327.43
,,,2021-1-5,1327.43
,,,2021-1-6,1327.43
,,,2021-1-7,1327.43
,,,2021-1-8,1327.43
,,,2021-1-9,1327.43
,,,2021-1-10,1327.43
,,,2021-1-11,1327.43
,,,2021-1-12,1327.43
,,,2021-1-13,1327.43
,,,2021-1-14,1327.43
,,,2021-1-15,1327.43
,,,2021-1-16,1327.43
,,,2021-1-17,1327.43
,,,2021-1-18,1327.43
,,,2021-1-19,1327.43
,,,2021-1-20,1327.43
,,,2021-1-21,1327.43
,,,2021-1-22,1327.43
,,,2021-1-23,1327.43
,,,2021-1-24,1327.43
,,,2021-1-25,1327.43
,,,2021-1-26,1327.43
,,,2021-1-27,1327.43
,,,2021-1-28,1327.43
,,,2021-1-29,1327.43
,,,2021-1-30,1327.43
,,,2021-1-31,1327.43
,,,2021-2-1,1327.43
,,,2021-2-2,1327.43
,,,2021-2-3,1327.43
,,,2021-2-4,1327.43
,,,2021-2-5,1327.43
,,,2021-2-6,1327.43
,,,2021-2-7,1327.43
,,,2021-2-8,1327.43
,,,2021-2-9,1327.43
,,,2021-2-10,1327.43
,,,2021-2-11,1327.43
,,,2021-2-12,1327.43
,,,2021-2-13,1327.43
,,,2021-2-14,1327.43
,,,2021-2-15,1327.43
,,,2021-2-16,1327.43
,,,2021-2-17,1327.43
,,,2021-2-18,1327.43
,,,2021-2-19,1327.43
,,,2021-2-20,1327.43
,,,2021-2-21,1327.43
,,,2021-2-22,1327.43
,,,2021-2-23,1327.43
,,,2021-2-24,1327.43
,,,2021-2-25,1327.43
,,,2021-2-26,1327.43
,,,2021-2-27,1327.43
,,,2021-2-28,1327.43
,,,2021-3-1,1327.43
,,,2021-3-2,1327.43
,,,2021-3-3,1327.43
,,,2021-3-4,1327.43
,,,2021-3-5,1327.43
,,,2021-3-6,1327.43
,,,2021-3-7,1327.43
,,,2021-3-8,1327.43
,,,2021-3-9,1327.43
,,,2021-3-10,1327.43
,,,2021-3-11,1327.43
,,,2021-3-12,1327.43
,,,2021-3-13,1327.43
,,,2021-3-14,1327.43
,,,2021-3-15,1327.43
,,,2021-3-16,1327.43
,,,2021-3-17,1327.43
,,,2021-3-18,1327.43
,,,2021-3-19,1327.43
,,,2021-3-20,1327.43
,,,2021-3-21,1327.43
,,,2021-3-22,1327.43
,,,2021-3-23,1327.43
,,,2021-3-24,1327.43
,,,2021-3-25,1327.43
,,,2021-3-26,1327.43
,,,2021-3-27,1327.43
,,,2021-3-28,1327.43
,,,2021-3-29,1327.43
,,,2021-3-30,1327.43
,,,2021-3-31,1327.43
,,,2021-4-1,1327.43
,,,2021-4-2,1327.43
,,,2021-4-3,1327.43
,,,2021-4-4,1327.43
,,,2021-4-5,1327.43
,,,2021-4-6,1327.43
,,,2021-4-7,1327.43
,,,2021-4-8,1327.43
