date,name,price,,
2016-7-18,合成氨,2101,2016-7-18,2101
2016-7-25,合成氨,2200,2016-7-19,2101
2016-8-1,合成氨,2150,2016-7-20,2101
2016-8-8,合成氨,2140,2016-7-21,2101
2016-8-15,合成氨,2140,2016-7-22,2101
2016-8-22,合成氨,1960,2016-7-23,2101
2016-8-29,合成氨,2130,2016-7-24,2101
2016-10-17,合成氨,2200,2016-7-25,2200
2016-10-24,合成氨,2150,2016-7-26,2200
2016-10-31,合成氨,2280,2016-7-27,2200
2016-11-7,合成氨,2250,2016-7-28,2200
2016-11-14,合成氨,2380,2016-7-29,2200
2016-11-28,合成氨,2280,2016-7-30,2200
2017-1-2,合成氨,2680,2016-7-31,2200
2017-1-9,合成氨,2780,2016-8-1,2150
2017-1-16,合成氨,2780,2016-8-2,2150
2017-1-23,合成氨,2730,2016-8-3,2150
2017-1-30,合成氨,2730,2016-8-4,2150
2017-2-6,合成氨,2810,2016-8-5,2150
2017-2-20,合成氨,2880,2016-8-6,2150
2017-2-27,合成氨,2880,2016-8-7,2150
2017-3-6,合成氨,2880,2016-8-8,2140
2017-3-13,合成氨,2800,2016-8-9,2140
2017-3-20,合成氨,2830,2016-8-10,2140
2017-3-27,合成氨,2730,2016-8-11,2140
2017-4-3,合成氨,2530,2016-8-12,2140
2017-4-10,合成氨,2480,2016-8-13,2140
2017-4-17,合成氨,2380,2016-8-14,2140
2017-5-8,合成氨,2550,2016-8-15,2140
2017-5-15,合成氨,2550,2016-8-16,2140
2017-5-22,合成氨,2430,2016-8-17,2140
2017-5-29,合成氨,2680,2016-8-18,2140
2017-6-5,合成氨,2880,2016-8-19,2140
2017-6-12,合成氨,2720,2016-8-20,2140
2017-6-19,合成氨,2780,2016-8-21,2140
2017-6-26,合成氨,2922,2016-8-22,1960
2017-7-3,合成氨,2750,2016-8-23,1960
2017-7-10,合成氨,2650,2016-8-24,1960
2017-8-28,合成氨,2350,2016-8-25,1960
2017-9-4,合成氨,2820,2016-8-26,1960
2017-9-11,合成氨,2820,2016-8-27,1960
2017-9-18,合成氨,2550,2016-8-28,1960
2017-9-25,合成氨,2650,2016-8-29,2130
2018-5-7,合成氨,3020,2016-8-30,2130
2018-5-14,合成氨,3070,2016-8-31,2130
2018-5-21,合成氨,3040,2016-9-1,2130
2018-5-28,合成氨,3040,2016-9-2,2130
2018-6-4,合成氨,3170,2016-9-3,2130
2018-6-18,合成氨,3350,2016-9-4,2130
2018-6-25,合成氨,3350,2016-9-5,2130
2018-9-10,合成氨,3273.6,2016-9-6,2130
2018-9-17,合成氨,3273.6,2016-9-7,2130
2018-10-15,合成氨,3422.4,2016-9-8,2130
2018-10-22,合成氨,3422.4,2016-9-9,2130
2018-10-29,合成氨,3372.8,2016-9-10,2130
2018-11-5,合成氨,3025.6,2016-9-11,2130
2018-11-12,合成氨,3025.6,2016-9-12,2130
2019-1-14,合成氨,2976,2016-9-13,2130
2019-1-21,合成氨,2976,2016-9-14,2130
2019-1-28,合成氨,2926.4,2016-9-15,2130
2019-2-4,合成氨,2678.4,2016-9-16,2130
2019-2-11,合成氨,2678.4,2016-9-17,2130
2019-2-18,合成氨,2777.6,2016-9-18,2130
2019-2-25,合成氨,2728,2016-9-19,2130
2019-3-4,合成氨,2678.4,2016-9-20,2130
2019-3-11,合成氨,2956.16,2016-9-21,2130
2019-3-18,合成氨,2956.16,2016-9-22,2130
2019-3-25,合成氨,3055.36,2016-9-23,2130
2019-4-1,合成氨,2976,2016-9-24,2130
2019-4-8,合成氨,2896.64,2016-9-25,2130
2019-4-15,合成氨,2896.64,2016-9-26,2130
2019-4-22,合成氨,3025.6,2016-9-27,2130
2019-4-29,合成氨,3025.6,2016-9-28,2130
2019-5-6,合成氨,3025.6,2016-9-29,2130
2019-5-13,合成氨,2926.4,2016-9-30,2130
2019-5-20,合成氨,2856.96,2016-10-1,2130
2019-5-27,合成氨,2797.44,2016-10-2,2130
2019-6-3,合成氨,2797.44,2016-10-3,2130
2019-6-10,合成氨,2847.04,2016-10-4,2130
2019-6-17,合成氨,2737.92,2016-10-5,2130
2019-6-24,合成氨,2737.92,2016-10-6,2130
2019-7-1,合成氨,2678.4,2016-10-7,2130
2019-7-8,合成氨,2678.4,2016-10-8,2130
2019-7-15,合成氨,2807.36,2016-10-9,2130
2019-7-22,合成氨,2807.36,2016-10-10,2130
2019-7-29,合成氨,2837.12,2016-10-11,2130
2019-8-12,合成氨,2876.8,2016-10-12,2130
2019-8-19,合成氨,2876.8,2016-10-13,2130
2019-8-26,合成氨,2876.8,2016-10-14,2130
2019-9-2,合成氨,2827.2,2016-10-15,2130
2019-9-9,合成氨,2827.2,2016-10-16,2130
2019-9-16,合成氨,2777.6,2016-10-17,2200
2019-9-23,合成氨,2966.08,2016-10-18,2200
2019-9-30,合成氨,2966.08,2016-10-19,2200
2019-10-7,合成氨,2966.08,2016-10-20,2200
2019-10-14,合成氨,2966.08,2016-10-21,2200
2019-10-21,合成氨,2916.48,2016-10-22,2200
2019-10-28,合成氨,2787.52,2016-10-23,2200
2019-11-4,合成氨,2827.2,2016-10-24,2150
2019-11-11,合成氨,2827.2,2016-10-25,2150
2019-11-25,合成氨,2529.6,2016-10-26,2150
2019-12-2,合成氨,2599.04,2016-10-27,2150
2019-12-9,合成氨,2648.64,2016-10-28,2150
2019-12-16,合成氨,2678.4,2016-10-29,2150
2019-12-23,合成氨,2678.4,2016-10-30,2150
2019-12-30,合成氨,2678.4,2016-10-31,2280
2020-1-6,合成氨,2529.6,2016-11-1,2280
2020-1-13,合成氨,2559.36,2016-11-2,2280
2020-1-20,合成氨,2480,2016-11-3,2280
2020-1-27,合成氨,2480,2016-11-4,2280
2020-2-3,合成氨,2430.4,2016-11-5,2280
2020-2-10,合成氨,2430.4,2016-11-6,2280
2020-2-17,合成氨,2331.2,2016-11-7,2250
2020-2-24,合成氨,2331.2,2016-11-8,2250
2020-3-2,合成氨,2499.84,2016-11-9,2250
2020-3-9,合成氨,2549.44,2016-11-10,2250
2020-3-16,合成氨,2648.64,2016-11-11,2250
2020-3-23,合成氨,2628.8,2016-11-12,2250
2020-3-30,合成氨,2628.8,2016-11-13,2250
2020-4-6,合成氨,2579.2,2016-11-14,2380
2020-4-13,合成氨,2608.96,2016-11-15,2380
2020-4-20,合成氨,2658.56,2016-11-16,2380
2020-4-27,合成氨,2658.56,2016-11-17,2380
2020-5-4,合成氨,2509.76,2016-11-18,2380
2020-5-11,合成氨,2509.76,2016-11-19,2380
2020-5-18,合成氨,2480,2016-11-20,2380
2020-5-25,合成氨,2430.4,2016-11-21,2380
2020-6-1,合成氨,2430.4,2016-11-22,2380
2020-6-8,合成氨,2480,2016-11-23,2380
2020-6-15,合成氨,2480,2016-11-24,2380
2020-6-22,合成氨,2480,2016-11-25,2380
2020-6-29,合成氨,2480,2016-11-26,2380
2020-7-6,合成氨,2480,2016-11-27,2380
2020-7-13,合成氨,2519.68,2016-11-28,2280
2020-7-20,合成氨,2519.68,2016-11-29,2280
2020-7-27,合成氨,2380.8,2016-11-30,2280
2020-8-3,合成氨,2430.4,2016-12-1,2280
2020-8-10,合成氨,2480,2016-12-2,2280
2020-8-17,合成氨,2480,2016-12-3,2280
2020-12-7,合成氨,2797.44,2016-12-4,2280
2020-12-14,合成氨,2797.44,2016-12-5,2280
2020-12-28,合成氨,2926.4,2016-12-6,2280
2021-1-4,合成氨,2876.8,2016-12-7,2280
2021-1-11,合成氨,2976,2016-12-8,2280
2021-1-18,合成氨,3075.2,2016-12-9,2280
2021-1-25,合成氨,3233.92,2016-12-10,2280
2021-2-1,合成氨,3233.92,2016-12-11,2280
2021-2-8,合成氨,2876.8,2016-12-12,2280
2021-2-15,合成氨,2876.8,2016-12-13,2280
2021-2-22,合成氨,3005.76,2016-12-14,2280
2021-3-1,合成氨,3005.76,2016-12-15,2280
2021-3-8,合成氨,2946.24,2016-12-16,2280
2021-3-15,合成氨,2946.24,2016-12-17,2280
2021-3-22,合成氨,3075.2,2016-12-18,2280
2021-3-29,合成氨,3372.8,2016-12-19,2280
2021-4-5,合成氨,3670.4,2016-12-20,2280
2021-4-12,合成氨,3670.4,2016-12-21,2280
2021-4-19,合成氨,3670.4,2016-12-22,2280
2021-4-26,合成氨,3571.2,2016-12-23,2280
2021-5-3,合成氨,3472,2016-12-24,2280
2021-6-14,合成氨,4067.2,2016-12-25,2280
2021-6-21,合成氨,4067.2,2016-12-26,2280
2021-7-5,合成氨,3938.24,2016-12-27,2280
2021-7-12,合成氨,3888.64,2016-12-28,2280
2021-7-19,合成氨,4067.2,2016-12-29,2280
2021-7-26,合成氨,4315.2,2016-12-30,2280
2021-8-2,合成氨,4315.2,2016-12-31,2280
2021-8-9,合成氨,4216,2017-1-1,2280
2021-8-16,合成氨,4216,2017-1-2,2680
2021-8-23,合成氨,4315.2,2017-1-3,2680
2021-8-30,合成氨,3620.8,2017-1-4,2680
2021-9-6,合成氨,3422.4,2017-1-5,2680
2021-9-13,合成氨,3670.4,2017-1-6,2680
2021-9-27,合成氨,3670.4,2017-1-7,2680
2021-10-4,合成氨,3670.4,2017-1-8,2680
2021-10-11,合成氨,4513.6,2017-1-9,2780
2021-11-1,合成氨,4216,2017-1-10,2780
2021-11-8,合成氨,4216,2017-1-11,2780
2021-11-15,合成氨,3571.2,2017-1-12,2780
2021-11-22,合成氨,3571.2,2017-1-13,2780
2021-11-29,合成氨,3819.2,2017-1-14,2780
2021-12-6,合成氨,3918.4,2017-1-15,2780
2021-12-13,合成氨,3918.4,2017-1-16,2780
2021-12-20,合成氨,3918.4,2017-1-17,2780
2021-12-27,合成氨,3620.8,2017-1-18,2780
2022-1-3,合成氨,3620.8,2017-1-19,2780
2022-1-10,合成氨,3720,2017-1-20,2780
2022-1-17,合成氨,3720,2017-1-21,2780
2022-1-24,合成氨,3720,2017-1-22,2780
2022-1-31,合成氨,3571.2,2017-1-23,2730
2022-2-1,合成氨,3205.32,2017-1-24,2730
2022-2-7,合成氨,3571.2,2017-1-25,2730
2022-2-14,合成氨,3670.4,2017-1-26,2730
