date,name,price,,
2022-2-1,工业盐（精制盐）,417.6548673,2022-2-1,417.6548673
2022-9-1,工业盐（精制盐）,496.1669281,2022-2-2,417.6548673
2022-11-1,工业盐（精制盐）,496.1669281,2022-2-3,417.6548673
2022-12-1,工业盐（精制盐）,417.65,2022-2-4,417.6548673
2023-1-1,工业盐（精制盐）,417.65,2022-2-5,417.6548673
2023-2-1,工业盐（精制盐）,417.6548673,2022-2-6,417.6548673
2023-3-1,工业盐（精制盐）,404.380531,2022-2-7,417.6548673
2023-4-1,工业盐（精制盐）,380.5309735,2022-2-8,417.6548673
2023-5-1,工业盐（精制盐）,345.1327434,2022-2-9,417.6548673
2023-6-1,工业盐（精制盐）,360.13,2022-2-10,417.6548673
2023-7-1,工业盐（精制盐）,342.4336283,2022-2-11,417.6548673
2023-8-1,工业盐（精制盐）,315.88,2022-2-12,417.6548673
,,,2022-2-13,417.6548673
,,,2022-2-14,417.6548673
,,,2022-2-15,417.6548673
,,,2022-2-16,417.6548673
,,,2022-2-17,417.6548673
,,,2022-2-18,417.6548673
,,,2022-2-19,417.6548673
,,,2022-2-20,417.6548673
,,,2022-2-21,417.6548673
,,,2022-2-22,417.6548673
,,,2022-2-23,417.6548673
,,,2022-2-24,417.6548673
,,,2022-2-25,417.6548673
,,,2022-2-26,417.6548673
,,,2022-2-27,417.6548673
,,,2022-2-28,417.6548673
,,,2022-3-1,417.6548673
,,,2022-3-2,417.6548673
,,,2022-3-3,417.6548673
,,,2022-3-4,417.6548673
,,,2022-3-5,417.6548673
,,,2022-3-6,417.6548673
,,,2022-3-7,417.6548673
,,,2022-3-8,417.6548673
,,,2022-3-9,417.6548673
,,,2022-3-10,417.6548673
,,,2022-3-11,417.6548673
,,,2022-3-12,417.6548673
,,,2022-3-13,417.6548673
,,,2022-3-14,417.6548673
,,,2022-3-15,417.6548673
,,,2022-3-16,417.6548673
,,,2022-3-17,417.6548673
,,,2022-3-18,417.6548673
,,,2022-3-19,417.6548673
,,,2022-3-20,417.6548673
,,,2022-3-21,417.6548673
,,,2022-3-22,417.6548673
,,,2022-3-23,417.6548673
,,,2022-3-24,417.6548673
,,,2022-3-25,417.6548673
,,,2022-3-26,417.6548673
,,,2022-3-27,417.6548673
,,,2022-3-28,417.6548673
,,,2022-3-29,417.6548673
,,,2022-3-30,417.6548673
,,,2022-3-31,417.6548673
,,,2022-4-1,417.6548673
,,,2022-4-2,417.6548673
,,,2022-4-3,417.6548673
,,,2022-4-4,417.6548673
,,,2022-4-5,417.6548673
,,,2022-4-6,417.6548673
,,,2022-4-7,417.6548673
,,,2022-4-8,417.6548673
,,,2022-4-9,417.6548673
,,,2022-4-10,417.6548673
,,,2022-4-11,417.6548673
,,,2022-4-12,417.6548673
,,,2022-4-13,417.6548673
,,,2022-4-14,417.6548673
,,,2022-4-15,417.6548673
,,,2022-4-16,417.6548673
,,,2022-4-17,417.6548673
,,,2022-4-18,417.6548673
,,,2022-4-19,417.6548673
,,,2022-4-20,417.6548673
,,,2022-4-21,417.6548673
,,,2022-4-22,417.6548673
,,,2022-4-23,417.6548673
,,,2022-4-24,417.6548673
,,,2022-4-25,417.6548673
,,,2022-4-26,417.6548673
,,,2022-4-27,417.6548673
,,,2022-4-28,417.6548673
,,,2022-4-29,417.6548673
,,,2022-4-30,417.6548673
,,,2022-5-1,417.6548673
,,,2022-5-2,417.6548673
,,,2022-5-3,417.6548673
,,,2022-5-4,417.6548673
,,,2022-5-5,417.6548673
,,,2022-5-6,417.6548673
,,,2022-5-7,417.6548673
,,,2022-5-8,417.6548673
,,,2022-5-9,417.6548673
,,,2022-5-10,417.6548673
,,,2022-5-11,417.6548673
,,,2022-5-12,417.6548673
,,,2022-5-13,417.6548673
,,,2022-5-14,417.6548673
,,,2022-5-15,417.6548673
,,,2022-5-16,417.6548673
,,,2022-5-17,417.6548673
,,,2022-5-18,417.6548673
,,,2022-5-19,417.6548673
,,,2022-5-20,417.6548673
,,,2022-5-21,417.6548673
,,,2022-5-22,417.6548673
,,,2022-5-23,417.6548673
,,,2022-5-24,417.6548673
,,,2022-5-25,417.6548673
,,,2022-5-26,417.6548673
,,,2022-5-27,417.6548673
,,,2022-5-28,417.6548673
,,,2022-5-29,417.6548673
,,,2022-5-30,417.6548673
,,,2022-5-31,417.6548673
,,,2022-6-1,417.6548673
,,,2022-6-2,417.6548673
,,,2022-6-3,417.6548673
,,,2022-6-4,417.6548673
,,,2022-6-5,417.6548673
,,,2022-6-6,417.6548673
,,,2022-6-7,417.6548673
,,,2022-6-8,417.6548673
,,,2022-6-9,417.6548673
,,,2022-6-10,417.6548673
,,,2022-6-11,417.6548673
,,,2022-6-12,417.6548673
,,,2022-6-13,417.6548673
,,,2022-6-14,417.6548673
,,,2022-6-15,417.6548673
,,,2022-6-16,417.6548673
,,,2022-6-17,417.6548673
,,,2022-6-18,417.6548673
,,,2022-6-19,417.6548673
,,,2022-6-20,417.6548673
,,,2022-6-21,417.6548673
,,,2022-6-22,417.6548673
,,,2022-6-23,417.6548673
,,,2022-6-24,417.6548673
,,,2022-6-25,417.6548673
,,,2022-6-26,417.6548673
,,,2022-6-27,417.6548673
,,,2022-6-28,417.6548673
,,,2022-6-29,417.6548673
,,,2022-6-30,417.6548673
,,,2022-7-1,417.6548673
,,,2022-7-2,417.6548673
,,,2022-7-3,417.6548673
,,,2022-7-4,417.6548673
,,,2022-7-5,417.6548673
,,,2022-7-6,417.6548673
,,,2022-7-7,417.6548673
,,,2022-7-8,417.6548673
,,,2022-7-9,417.6548673
,,,2022-7-10,417.6548673
,,,2022-7-11,417.6548673
,,,2022-7-12,417.6548673
,,,2022-7-13,417.6548673
,,,2022-7-14,417.6548673
,,,2022-7-15,417.6548673
,,,2022-7-16,417.6548673
,,,2022-7-17,417.6548673
,,,2022-7-18,417.6548673
,,,2022-7-19,417.6548673
,,,2022-7-20,417.6548673
,,,2022-7-21,417.6548673
,,,2022-7-22,417.6548673
,,,2022-7-23,417.6548673
,,,2022-7-24,417.6548673
,,,2022-7-25,417.6548673
,,,2022-7-26,417.6548673
,,,2022-7-27,417.6548673
,,,2022-7-28,417.6548673
,,,2022-7-29,417.6548673
,,,2022-7-30,417.6548673
,,,2022-7-31,417.6548673
,,,2022-8-1,417.6548673
,,,2022-8-2,417.6548673
,,,2022-8-3,417.6548673
,,,2022-8-4,417.6548673
,,,2022-8-5,417.6548673
,,,2022-8-6,417.6548673
,,,2022-8-7,417.6548673
,,,2022-8-8,417.6548673
,,,2022-8-9,417.6548673
,,,2022-8-10,417.6548673
,,,2022-8-11,417.6548673
,,,2022-8-12,417.6548673
,,,2022-8-13,417.6548673
,,,2022-8-14,417.6548673
,,,2022-8-15,417.6548673
,,,2022-8-16,417.6548673
,,,2022-8-17,417.6548673
,,,2022-8-18,417.6548673
,,,2022-8-19,417.6548673
,,,2022-8-20,417.6548673
,,,2022-8-21,417.6548673
,,,2022-8-22,417.6548673
,,,2022-8-23,417.6548673
,,,2022-8-24,417.6548673
,,,2022-8-25,417.6548673
,,,2022-8-26,417.6548673
,,,2022-8-27,417.6548673
,,,2022-8-28,417.6548673
,,,2022-8-29,417.6548673
,,,2022-8-30,417.6548673
,,,2022-8-31,417.6548673
,,,2022-9-1,496.1669281
,,,2022-9-2,496.1669281
,,,2022-9-3,496.1669281
,,,2022-9-4,496.1669281
,,,2022-9-5,496.1669281
,,,2022-9-6,496.1669281
,,,2022-9-7,496.1669281
,,,2022-9-8,496.1669281
,,,2022-9-9,496.1669281
,,,2022-9-10,496.1669281
,,,2022-9-11,496.1669281
,,,2022-9-12,496.1669281
,,,2022-9-13,496.1669281
,,,2022-9-14,496.1669281
,,,2022-9-15,496.1669281
,,,2022-9-16,496.1669281
,,,2022-9-17,496.1669281
,,,2022-9-18,496.1669281
,,,2022-9-19,496.1669281
,,,2022-9-20,496.1669281
,,,2022-9-21,496.1669281
,,,2022-9-22,496.1669281
,,,2022-9-23,496.1669281
,,,2022-9-24,496.1669281
,,,2022-9-25,496.1669281
,,,2022-9-26,496.1669281
,,,2022-9-27,496.1669281
,,,2022-9-28,496.1669281
,,,2022-9-29,496.1669281
,,,2022-9-30,496.1669281
,,,2022-10-1,496.1669281
,,,2022-10-2,496.1669281
,,,2022-10-3,496.1669281
,,,2022-10-4,496.1669281
,,,2022-10-5,496.1669281
,,,2022-10-6,496.1669281
,,,2022-10-7,496.1669281
,,,2022-10-8,496.1669281
,,,2022-10-9,496.1669281
,,,2022-10-10,496.1669281
,,,2022-10-11,496.1669281
,,,2022-10-12,496.1669281
,,,2022-10-13,496.1669281
,,,2022-10-14,496.1669281
,,,2022-10-15,496.1669281
,,,2022-10-16,496.1669281
,,,2022-10-17,496.1669281
,,,2022-10-18,496.1669281
,,,2022-10-19,496.1669281
,,,2022-10-20,496.1669281
,,,2022-10-21,496.1669281
,,,2022-10-22,496.1669281
,,,2022-10-23,496.1669281
,,,2022-10-24,496.1669281
,,,2022-10-25,496.1669281
,,,2022-10-26,496.1669281
,,,2022-10-27,496.1669281
,,,2022-10-28,496.1669281
,,,2022-10-29,496.1669281
,,,2022-10-30,496.1669281
,,,2022-10-31,496.1669281
,,,2022-11-1,496.1669281
,,,2022-11-2,496.1669281
,,,2022-11-3,496.1669281
,,,2022-11-4,496.1669281
,,,2022-11-5,496.1669281
,,,2022-11-6,496.1669281
,,,2022-11-7,496.1669281
,,,2022-11-8,496.1669281
,,,2022-11-9,496.1669281
,,,2022-11-10,496.1669281
,,,2022-11-11,496.1669281
,,,2022-11-12,496.1669281
,,,2022-11-13,496.1669281
,,,2022-11-14,496.1669281
,,,2022-11-15,496.1669281
,,,2022-11-16,496.1669281
,,,2022-11-17,496.1669281
,,,2022-11-18,496.1669281
,,,2022-11-19,496.1669281
,,,2022-11-20,496.1669281
,,,2022-11-21,496.1669281
,,,2022-11-22,496.1669281
,,,2022-11-23,496.1669281
,,,2022-11-24,496.1669281
,,,2022-11-25,496.1669281
,,,2022-11-26,496.1669281
,,,2022-11-27,496.1669281
,,,2022-11-28,496.1669281
,,,2022-11-29,496.1669281
,,,2022-11-30,496.1669281
,,,2022-12-1,417.65
,,,2022-12-2,417.65
,,,2022-12-3,417.65
,,,2022-12-4,417.65
,,,2022-12-5,417.65
,,,2022-12-6,417.65
,,,2022-12-7,417.65
,,,2022-12-8,417.65
,,,2022-12-9,417.65
,,,2022-12-10,417.65
,,,2022-12-11,417.65
,,,2022-12-12,417.65
,,,2022-12-13,417.65
,,,2022-12-14,417.65
,,,2022-12-15,417.65
,,,2022-12-16,417.65
,,,2022-12-17,417.65
,,,2022-12-18,417.65
,,,2022-12-19,417.65
,,,2022-12-20,417.65
,,,2022-12-21,417.65
,,,2022-12-22,417.65
,,,2022-12-23,417.65
,,,2022-12-24,417.65
,,,2022-12-25,417.65
,,,2022-12-26,417.65
,,,2022-12-27,417.65
,,,2022-12-28,417.65
,,,2022-12-29,417.65
,,,2022-12-30,417.65
,,,2022-12-31,417.65
,,,2023-1-1,417.65
,,,2023-1-2,417.65
,,,2023-1-3,417.65
,,,2023-1-4,417.65
,,,2023-1-5,417.65
,,,2023-1-6,417.65
,,,2023-1-7,417.65
,,,2023-1-8,417.65
,,,2023-1-9,417.65
,,,2023-1-10,417.65
,,,2023-1-11,417.65
,,,2023-1-12,417.65
,,,2023-1-13,417.65
,,,2023-1-14,417.65
,,,2023-1-15,417.65
,,,2023-1-16,417.65
,,,2023-1-17,417.65
,,,2023-1-18,417.65
,,,2023-1-19,417.65
,,,2023-1-20,417.65
,,,2023-1-21,417.65
,,,2023-1-22,417.65
,,,2023-1-23,417.65
,,,2023-1-24,417.65
,,,2023-1-25,417.65
,,,2023-1-26,417.65
,,,2023-1-27,417.65
,,,2023-1-28,417.65
,,,2023-1-29,417.65
,,,2023-1-30,417.65
,,,2023-1-31,417.65
,,,2023-2-1,417.6548673
,,,2023-2-2,417.6548673
,,,2023-2-3,417.6548673
,,,2023-2-4,417.6548673
,,,2023-2-5,417.6548673
,,,2023-2-6,417.6548673
,,,2023-2-7,417.6548673
,,,2023-2-8,417.6548673
,,,2023-2-9,417.6548673
,,,2023-2-10,417.6548673
,,,2023-2-11,417.6548673
,,,2023-2-12,417.6548673
,,,2023-2-13,417.6548673
,,,2023-2-14,417.6548673
,,,2023-2-15,417.6548673
,,,2023-2-16,417.6548673
,,,2023-2-17,417.6548673
,,,2023-2-18,417.6548673
,,,2023-2-19,417.6548673
,,,2023-2-20,417.6548673
,,,2023-2-21,417.6548673
,,,2023-2-22,417.6548673
,,,2023-2-23,417.6548673
,,,2023-2-24,417.6548673
,,,2023-2-25,417.6548673
,,,2023-2-26,417.6548673
,,,2023-2-27,417.6548673
,,,2023-2-28,417.6548673
,,,2023-3-1,404.380531
,,,2023-3-2,404.380531
,,,2023-3-3,404.380531
,,,2023-3-4,404.380531
,,,2023-3-5,404.380531
,,,2023-3-6,404.380531
,,,2023-3-7,404.380531
,,,2023-3-8,404.380531
,,,2023-3-9,404.380531
,,,2023-3-10,404.380531
,,,2023-3-11,404.380531
,,,2023-3-12,404.380531
,,,2023-3-13,404.380531
,,,2023-3-14,404.380531
,,,2023-3-15,404.380531
,,,2023-3-16,404.380531
,,,2023-3-17,404.380531
,,,2023-3-18,404.380531
,,,2023-3-19,404.380531
,,,2023-3-20,404.380531
,,,2023-3-21,404.380531
,,,2023-3-22,404.380531
,,,2023-3-23,404.380531
,,,2023-3-24,404.380531
,,,2023-3-25,404.380531
,,,2023-3-26,404.380531
,,,2023-3-27,404.380531
,,,2023-3-28,404.380531
,,,2023-3-29,404.380531
,,,2023-3-30,404.380531
,,,2023-3-31,404.380531
,,,2023-4-1,380.5309735
,,,2023-4-2,380.5309735
,,,2023-4-3,380.5309735
,,,2023-4-4,380.5309735
,,,2023-4-5,380.5309735
,,,2023-4-6,380.5309735
,,,2023-4-7,380.5309735
,,,2023-4-8,380.5309735
,,,2023-4-9,380.5309735
,,,2023-4-10,380.5309735
,,,2023-4-11,380.5309735
,,,2023-4-12,380.5309735
,,,2023-4-13,380.5309735
,,,2023-4-14,380.5309735
,,,2023-4-15,380.5309735
,,,2023-4-16,380.5309735
,,,2023-4-17,380.5309735
,,,2023-4-18,380.5309735
,,,2023-4-19,380.5309735
,,,2023-4-20,380.5309735
,,,2023-4-21,380.5309735
,,,2023-4-22,380.5309735
,,,2023-4-23,380.5309735
,,,2023-4-24,380.5309735
,,,2023-4-25,380.5309735
,,,2023-4-26,380.5309735
,,,2023-4-27,380.5309735
,,,2023-4-28,380.5309735
,,,2023-4-29,380.5309735
,,,2023-4-30,380.5309735
,,,2023-5-1,345.1327434
,,,2023-5-2,345.1327434
,,,2023-5-3,345.1327434
,,,2023-5-4,345.1327434
,,,2023-5-5,345.1327434
,,,2023-5-6,345.1327434
,,,2023-5-7,345.1327434
,,,2023-5-8,345.1327434
,,,2023-5-9,345.1327434
