date,name,price,,
2018-5-28,氢气,14779.62,2018-5-28,14779.62
2018-6-25,氢气,14779.62,2018-5-29,14779.62
2018-7-30,氢气,15121.06,2018-5-30,14779.62
2018-8-27,氢气,15121.06,2018-5-31,14779.62
2018-9-24,氢气,15121.06,2018-6-1,14779.62
2018-10-29,氢气,15121.06,2018-6-2,14779.62
2018-11-26,氢气,15121.06,2018-6-3,14779.62
2018-12-31,氢气,15121.06,2018-6-4,14779.62
2019-1-28,氢气,14829.83,2018-6-5,14779.62
2019-2-25,氢气,14829.83,2018-6-6,14779.62
2019-3-25,氢气,14829.83,2018-6-7,14779.62
2019-4-29,氢气,14446.3,2018-6-8,14779.62
2019-5-27,氢气,14446.3,2018-6-9,14779.62
2019-6-24,氢气,14446.3,2018-6-10,14779.62
2019-7-29,氢气,14348.48,2018-6-11,14779.62
2019-8-26,氢气,14348.48,2018-6-12,14779.62
2019-9-30,氢气,14348.48,2018-6-13,14779.62
2019-10-28,氢气,14348.48,2018-6-14,14779.62
2019-11-25,氢气,14348.48,2018-6-15,14779.62
2019-12-30,氢气,14348.48,2018-6-16,14779.62
2020-1-27,氢气,14280,2018-6-17,14779.62
2020-2-24,氢气,14280,2018-6-18,14779.62
2020-3-30,氢气,14280,2018-6-19,14779.62
2020-4-27,氢气,14280,2018-6-20,14779.62
2020-5-25,氢气,14280,2018-6-21,14779.62
2020-6-29,氢气,14280,2018-6-22,14779.62
2020-7-27,氢气,13781.08,2018-6-23,14779.62
2020-8-31,氢气,13781.08,2018-6-24,14779.62
2020-9-28,氢气,13781.08,2018-6-25,14779.62
2020-10-26,氢气,13781.08,2018-6-26,14779.62
2020-11-30,氢气,13781.08,2018-6-27,14779.62
2020-12-28,氢气,13781.08,2018-6-28,14779.62
2021-1-25,氢气,13986.52,2018-6-29,14779.62
2021-2-22,氢气,13986.52,2018-6-30,14779.62
2021-3-29,氢气,13986.52,2018-7-1,14779.62
2021-4-26,氢气,13986.52,2018-7-2,14779.62
2021-5-31,氢气,13986.52,2018-7-3,14779.62
2021-6-28,氢气,13986.52,2018-7-4,14779.62
2021-7-26,氢气,15170.22,2018-7-5,14779.62
2021-8-30,氢气,15170.22,2018-7-6,14779.62
2021-9-27,氢气,15170.22,2018-7-7,14779.62
2021-11-29,氢气,17439.81,2018-7-8,14779.62
2021-12-27,氢气,17439.81,2018-7-9,14779.62
2022-1-31,氢气,21881.15,2018-7-10,14779.62
2022-2-1,氢气,16651.66,2018-7-11,14779.62
2022-2-28,氢气,21881.15,2018-7-12,14779.62
2022-3-28,氢气,21881.15,2018-7-13,14779.62
2022-5-30,氢气,21881.15,2018-7-14,14779.62
2022-6-27,氢气,18916.99,2018-7-15,14779.62
2022-7-25,氢气,19777.87,2018-7-16,14779.62
2022-8-29,氢气,19777.87,2018-7-17,14779.62
2022-9-1,氢气,16651.66,2018-7-18,14779.62
2022-9-26,氢气,19777.87,2018-7-19,14779.62
2022-10-31,氢气,20042,2018-7-20,14779.62
2022-11-1,氢气,16651.66,2018-7-21,14779.62
