date,name,price,,
2016-7-4,氯化苯,4000,2016-7-4,4000
2016-7-11,氯化苯,4100,2016-7-5,4000
2016-7-18,氯化苯,4200,2016-7-6,4000
2016-7-25,氯化苯,4200,2016-7-7,4000
2016-8-1,氯化苯,3900,2016-7-8,4000
2016-8-8,氯化苯,4000,2016-7-9,4000
2016-8-15,氯化苯,4000,2016-7-10,4000
2016-9-12,氯化苯,4200,2016-7-11,4100
2016-9-19,氯化苯,4000,2016-7-12,4100
2016-9-26,氯化苯,4000,2016-7-13,4100
2016-10-3,氯化苯,4000,2016-7-14,4100
2016-10-10,氯化苯,4000,2016-7-15,4100
2016-10-17,氯化苯,4000,2016-7-16,4100
2016-10-24,氯化苯,4000,2016-7-17,4100
2016-10-31,氯化苯,4000,2016-7-18,4200
2016-11-7,氯化苯,4100,2016-7-19,4200
2016-11-14,氯化苯,4300,2016-7-20,4200
2016-11-21,氯化苯,4220,2016-7-21,4200
2016-11-28,氯化苯,4600,2016-7-22,4200
2016-12-5,氯化苯,5600,2016-7-23,4200
2016-12-12,氯化苯,5700,2016-7-24,4200
2016-12-19,氯化苯,5700,2016-7-25,4200
2016-12-26,氯化苯,5700,2016-7-26,4200
2017-1-2,氯化苯,5700,2016-7-27,4200
2017-1-9,氯化苯,5400,2016-7-28,4200
2017-1-16,氯化苯,5700,2016-7-29,4200
2017-2-6,氯化苯,7000,2016-7-30,4200
2017-2-20,氯化苯,6700,2016-7-31,4200
2017-2-27,氯化苯,6500,2016-8-1,3900
2017-3-6,氯化苯,6000,2016-8-2,3900
2017-3-13,氯化苯,6000,2016-8-3,3900
2017-3-20,氯化苯,6000,2016-8-4,3900
2017-3-27,氯化苯,5600,2016-8-5,3900
2017-4-3,氯化苯,5600,2016-8-6,3900
2017-4-17,氯化苯,5900,2016-8-7,3900
2017-4-24,氯化苯,5900,2016-8-8,4000
2017-7-3,氯化苯,5400,2016-8-9,4000
2017-8-21,氯化苯,5000,2016-8-10,4000
2017-8-28,氯化苯,5000,2016-8-11,4000
2017-9-4,氯化苯,5000,2016-8-12,4000
2017-9-11,氯化苯,5000,2016-8-13,4000
2017-9-18,氯化苯,4750,2016-8-14,4000
2017-9-25,氯化苯,4750,2016-8-15,4000
2017-10-2,氯化苯,4800,2016-8-16,4000
2017-10-9,氯化苯,5000,2016-8-17,4000
2017-10-16,氯化苯,5000,2016-8-18,4000
2017-10-23,氯化苯,5100,2016-8-19,4000
2017-10-30,氯化苯,5100,2016-8-20,4000
2017-11-6,氯化苯,4950,2016-8-21,4000
2017-11-13,氯化苯,5300,2016-8-22,4000
2017-11-20,氯化苯,5300,2016-8-23,4000
2017-11-27,氯化苯,6000,2016-8-24,4000
2017-12-4,氯化苯,6200,2016-8-25,4000
2017-12-11,氯化苯,6000,2016-8-26,4000
2017-12-18,氯化苯,6200,2016-8-27,4000
2017-12-25,氯化苯,5800,2016-8-28,4000
2018-1-1,氯化苯,5800,2016-8-29,4000
2018-1-8,氯化苯,5700,2016-8-30,4000
2018-1-15,氯化苯,5900,2016-8-31,4000
2018-1-22,氯化苯,5900,2016-9-1,4000
2018-1-29,氯化苯,5900,2016-9-2,4000
2018-2-5,氯化苯,5900,2016-9-3,4000
2018-2-12,氯化苯,5750,2016-9-4,4000
2018-2-19,氯化苯,5750,2016-9-5,4000
2018-3-5,氯化苯,6500,2016-9-6,4000
2018-3-12,氯化苯,5800,2016-9-7,4000
2018-3-19,氯化苯,5800,2016-9-8,4000
2018-4-2,氯化苯,6300,2016-9-9,4000
2018-4-9,氯化苯,6300,2016-9-10,4000
2018-4-16,氯化苯,6300,2016-9-11,4000
2018-4-23,氯化苯,5900,2016-9-12,4200
2018-4-30,氯化苯,5800,2016-9-13,4200
2018-5-7,氯化苯,5700,2016-9-14,4200
2018-5-14,氯化苯,5700,2016-9-15,4200
2018-5-21,氯化苯,5700,2016-9-16,4200
2018-5-28,氯化苯,5600,2016-9-17,4200
2018-6-4,氯化苯,5600,2016-9-18,4200
2018-6-11,氯化苯,5600,2016-9-19,4000
2018-6-25,氯化苯,5500,2016-9-20,4000
2018-7-2,氯化苯,5500,2016-9-21,4000
2018-7-23,氯化苯,5200,2016-9-22,4000
2018-7-30,氯化苯,5200,2016-9-23,4000
2018-8-6,氯化苯,5400,2016-9-24,4000
2018-8-13,氯化苯,5600,2016-9-25,4000
2018-8-20,氯化苯,5600,2016-9-26,4000
2018-8-27,氯化苯,5600,2016-9-27,4000
2018-9-3,氯化苯,5600,2016-9-28,4000
2018-9-10,氯化苯,5600,2016-9-29,4000
2018-9-17,氯化苯,5500,2016-9-30,4000
2018-9-24,氯化苯,5100,2016-10-1,4000
2018-10-1,氯化苯,5100,2016-10-2,4000
2018-10-8,氯化苯,5200,2016-10-3,4000
