date,name,price,,
2019-3-11,浓硝酸（98%）,1450,2019-3-11,1450
2019-3-18,浓硝酸（98%）,1560,2019-3-12,1450
2019-3-25,浓硝酸（98%）,1480,2019-3-13,1450
2019-4-1,浓硝酸（98%）,1450,2019-3-14,1450
2019-4-8,浓硝酸（98%）,1450,2019-3-15,1450
2019-4-15,浓硝酸（98%）,1450,2019-3-16,1450
2019-4-22,浓硝酸（98%）,1480,2019-3-17,1450
2019-4-29,浓硝酸（98%）,1480,2019-3-18,1560
2019-5-6,浓硝酸（98%）,1540,2019-3-19,1560
2019-5-13,浓硝酸（98%）,1540,2019-3-20,1560
2019-5-20,浓硝酸（98%）,1540,2019-3-21,1560
2019-5-27,浓硝酸（98%）,1570,2019-3-22,1560
2019-6-3,浓硝酸（98%）,1680,2019-3-23,1560
2019-6-10,浓硝酸（98%）,1680,2019-3-24,1560
2019-6-17,浓硝酸（98%）,1680,2019-3-25,1480
2019-6-24,浓硝酸（98%）,1690,2019-3-26,1480
2019-7-1,浓硝酸（98%）,1690,2019-3-27,1480
2019-7-8,浓硝酸（98%）,1660,2019-3-28,1480
2019-7-15,浓硝酸（98%）,1660,2019-3-29,1480
2019-7-22,浓硝酸（98%）,1650,2019-3-30,1480
2019-7-29,浓硝酸（98%）,1600,2019-3-31,1480
2019-8-5,浓硝酸（98%）,1520,2019-4-1,1450
2019-8-12,浓硝酸（98%）,1500,2019-4-2,1450
2019-8-19,浓硝酸（98%）,1500,2019-4-3,1450
2019-8-26,浓硝酸（98%）,1450,2019-4-4,1450
2019-9-2,浓硝酸（98%）,1460,2019-4-5,1450
2019-9-16,浓硝酸（98%）,2100,2019-4-6,1450
2019-9-23,浓硝酸（98%）,2450,2019-4-7,1450
2019-10-7,浓硝酸（98%）,2130,2019-4-8,1450
2019-10-14,浓硝酸（98%）,1710,2019-4-9,1450
2019-10-21,浓硝酸（98%）,1600,2019-4-10,1450
2019-11-4,浓硝酸（98%）,1500,2019-4-11,1450
2019-11-11,浓硝酸（98%）,1470,2019-4-12,1450
2019-11-18,浓硝酸（98%）,1480,2019-4-13,1450
2019-11-25,浓硝酸（98%）,1470,2019-4-14,1450
2019-12-2,浓硝酸（98%）,1460,2019-4-15,1450
2019-12-9,浓硝酸（98%）,1430,2019-4-16,1450
2019-12-16,浓硝酸（98%）,1420,2019-4-17,1450
2019-12-23,浓硝酸（98%）,1420,2019-4-18,1450
2019-12-30,浓硝酸（98%）,1420,2019-4-19,1450
2020-1-6,浓硝酸（98%）,1400,2019-4-20,1450
2020-1-13,浓硝酸（98%）,1350,2019-4-21,1450
2020-1-20,浓硝酸（98%）,1300,2019-4-22,1480
2020-1-27,浓硝酸（98%）,1300,2019-4-23,1480
2020-2-3,浓硝酸（98%）,1260,2019-4-24,1480
2020-2-10,浓硝酸（98%）,1260,2019-4-25,1480
2020-2-17,浓硝酸（98%）,1260,2019-4-26,1480
2020-2-24,浓硝酸（98%）,1260,2019-4-27,1480
2020-3-2,浓硝酸（98%）,1280,2019-4-28,1480
2020-3-9,浓硝酸（98%）,1350,2019-4-29,1480
2020-3-16,浓硝酸（98%）,1380,2019-4-30,1480
2020-3-23,浓硝酸（98%）,1380,2019-5-1,1480
2020-3-30,浓硝酸（98%）,1450,2019-5-2,1480
2020-4-6,浓硝酸（98%）,1400,2019-5-3,1480
2020-4-13,浓硝酸（98%）,1250,2019-5-4,1480
2020-4-20,浓硝酸（98%）,1240,2019-5-5,1480
2020-4-27,浓硝酸（98%）,1140,2019-5-6,1540
2020-5-4,浓硝酸（98%）,1170,2019-5-7,1540
2020-5-11,浓硝酸（98%）,1200,2019-5-8,1540
2020-5-18,浓硝酸（98%）,1250,2019-5-9,1540
2020-5-25,浓硝酸（98%）,1260,2019-5-10,1540
2020-6-1,浓硝酸（98%）,1250,2019-5-11,1540
2020-6-8,浓硝酸（98%）,1300,2019-5-12,1540
2020-6-29,浓硝酸（98%）,1300,2019-5-13,1540
2020-7-6,浓硝酸（98%）,1300,2019-5-14,1540
2020-7-13,浓硝酸（98%）,1300,2019-5-15,1540
2020-8-3,浓硝酸（98%）,1320,2019-5-16,1540
2020-8-10,浓硝酸（98%）,1280,2019-5-17,1540
2020-8-17,浓硝酸（98%）,1180,2019-5-18,1540
2021-3-1,浓硝酸（98%）,1750,2019-5-19,1540
2021-4-19,浓硝酸（98%）,2200,2019-5-20,1540
2021-5-17,浓硝酸（98%）,2000,2019-5-21,1540
2021-5-24,浓硝酸（98%）,1950,2019-5-22,1540
