date,name,price,,
2016-7-4,烧碱（32%）,693,2016-7-4,693
2016-7-11,烧碱（32%）,693,2016-7-5,693
2016-7-18,烧碱（32%）,693,2016-7-6,693
2016-7-25,烧碱（32%）,670,2016-7-7,693
2016-8-1,烧碱（32%）,700,2016-7-8,693
2016-8-8,烧碱（32%）,700,2016-7-9,693
2016-8-15,烧碱（32%）,750,2016-7-10,693
2016-8-22,烧碱（32%）,750,2016-7-11,693
2016-8-29,烧碱（32%）,720,2016-7-12,693
2016-9-5,烧碱（32%）,738,2016-7-13,693
2016-9-12,烧碱（32%）,738,2016-7-14,693
2016-9-19,烧碱（32%）,738,2016-7-15,693
2016-9-26,烧碱（32%）,738,2016-7-16,693
2016-10-3,烧碱（32%）,820,2016-7-17,693
2016-10-10,烧碱（32%）,820,2016-7-18,693
2016-10-17,烧碱（32%）,820,2016-7-19,693
2016-10-24,烧碱（32%）,820,2016-7-20,693
2016-10-31,烧碱（32%）,1100,2016-7-21,693
2016-11-7,烧碱（32%）,1050,2016-7-22,693
2016-11-14,烧碱（32%）,1100,2016-7-23,693
2016-11-21,烧碱（32%）,1034,2016-7-24,693
2016-11-28,烧碱（32%）,980,2016-7-25,670
2016-12-5,烧碱（32%）,1000,2016-7-26,670
2016-12-12,烧碱（32%）,980,2016-7-27,670
2016-12-19,烧碱（32%）,1043,2016-7-28,670
2016-12-26,烧碱（32%）,1000,2016-7-29,670
2017-1-2,烧碱（32%）,996,2016-7-30,670
2017-1-9,烧碱（32%）,996,2016-7-31,670
2017-1-16,烧碱（32%）,996,2016-8-1,700
2017-1-23,烧碱（32%）,996,2016-8-2,700
2017-1-30,烧碱（32%）,996,2016-8-3,700
2017-2-6,烧碱（32%）,900,2016-8-4,700
2017-2-13,烧碱（32%）,964,2016-8-5,700
2017-2-20,烧碱（32%）,964,2016-8-6,700
2017-2-27,烧碱（32%）,1023,2016-8-7,700
2017-3-6,烧碱（32%）,980,2016-8-8,700
2017-3-13,烧碱（32%）,980,2016-8-9,700
2017-3-20,烧碱（32%）,920,2016-8-10,700
2017-3-27,烧碱（32%）,980,2016-8-11,700
2017-4-3,烧碱（32%）,1058,2016-8-12,700
2017-4-10,烧碱（32%）,1058,2016-8-13,700
2017-4-17,烧碱（32%）,1027,2016-8-14,700
2017-4-24,烧碱（32%）,1027,2016-8-15,750
2017-5-1,烧碱（32%）,1014,2016-8-16,750
2017-5-8,烧碱（32%）,1014,2016-8-17,750
2017-5-15,烧碱（32%）,1014,2016-8-18,750
2017-5-22,烧碱（32%）,1014,2016-8-19,750
2017-5-29,烧碱（32%）,1014,2016-8-20,750
2017-6-5,烧碱（32%）,980,2016-8-21,750
2017-6-12,烧碱（32%）,1070,2016-8-22,750
2017-6-19,烧碱（32%）,1041,2016-8-23,750
2017-6-26,烧碱（32%）,1041,2016-8-24,750
2017-7-3,烧碱（32%）,980,2016-8-25,750
2017-7-10,烧碱（32%）,1070,2016-8-26,750
2017-7-17,烧碱（32%）,1050,2016-8-27,750
2017-7-24,烧碱（32%）,1036,2016-8-28,750
2017-7-31,烧碱（32%）,742.95,2016-8-29,720
2017-8-7,烧碱（32%）,1073,2016-8-30,720
2017-8-14,烧碱（32%）,980,2016-8-31,720
2017-8-21,烧碱（32%）,1042,2016-9-1,720
2017-8-28,烧碱（32%）,1042,2016-9-2,720
2017-9-4,烧碱（32%）,1071,2016-9-3,720
2017-9-11,烧碱（32%）,1071,2016-9-4,720
2017-9-18,烧碱（32%）,1071,2016-9-5,738
2017-9-25,烧碱（32%）,1071,2016-9-6,738
2017-10-2,烧碱（32%）,1280,2016-9-7,738
2017-10-9,烧碱（32%）,1280,2016-9-8,738
2017-10-16,烧碱（32%）,1249,2016-9-9,738
2017-10-23,烧碱（32%）,1249,2016-9-10,738
2017-10-30,烧碱（32%）,1249,2016-9-11,738
2017-11-6,烧碱（32%）,1498,2016-9-12,738
2017-11-13,烧碱（32%）,1498,2016-9-13,738
2017-11-20,烧碱（32%）,1498,2016-9-14,738
2017-11-27,烧碱（32%）,742.95,2016-9-15,738
2017-12-4,烧碱（32%）,1540,2016-9-16,738
2017-12-11,烧碱（32%）,1293,2016-9-17,738
2017-12-18,烧碱（32%）,1200,2016-9-18,738
2017-12-25,烧碱（32%）,1140,2016-9-19,738
2018-1-1,烧碱（32%）,1304,2016-9-20,738
2018-1-8,烧碱（32%）,1352,2016-9-21,738
2018-1-15,烧碱（32%）,1352,2016-9-22,738
2018-1-22,烧碱（32%）,1304,2016-9-23,738
2018-1-29,烧碱（32%）,742.95,2016-9-24,738
2018-2-5,烧碱（32%）,1242,2016-9-25,738
2018-2-12,烧碱（32%）,1242,2016-9-26,738
2018-2-19,烧碱（32%）,1120,2016-9-27,738
2018-2-26,烧碱（32%）,940,2016-9-28,738
2018-3-5,烧碱（32%）,940,2016-9-29,738
2018-3-12,烧碱（32%）,1160,2016-9-30,738
2018-3-19,烧碱（32%）,1111,2016-10-1,738
2018-3-26,烧碱（32%）,1150,2016-10-2,738
2018-4-2,烧碱（32%）,1226,2016-10-3,820
2018-4-9,烧碱（32%）,1226,2016-10-4,820
2018-4-16,烧碱（32%）,1226,2016-10-5,820
2018-4-23,烧碱（32%）,1182,2016-10-6,820
2018-4-30,烧碱（32%）,742.95,2016-10-7,820
2018-5-7,烧碱（32%）,1239,2016-10-8,820
2018-5-28,烧碱（32%）,736.6,2016-10-9,820
2018-6-25,烧碱（32%）,736.6,2016-10-10,820
2018-7-30,烧碱（32%）,736.6,2016-10-11,820
2018-8-27,烧碱（32%）,736.6,2016-10-12,820
2018-9-24,烧碱（32%）,736.6,2016-10-13,820
2018-10-15,烧碱（32%）,1022.9,2016-10-14,820
2018-10-22,烧碱（32%）,978,2016-10-15,820
2018-10-29,烧碱（32%）,978,2016-10-16,820
2018-11-5,烧碱（32%）,950,2016-10-17,820
2018-11-12,烧碱（32%）,1000,2016-10-18,820
2018-11-19,烧碱（32%）,950,2016-10-19,820
2018-11-26,烧碱（32%）,980,2016-10-20,820
2018-12-3,烧碱（32%）,1079,2016-10-21,820
2018-12-10,烧碱（32%）,1123.9,2016-10-22,820
2018-12-17,烧碱（32%）,1123.9,2016-10-23,820
2018-12-24,烧碱（32%）,1075,2016-10-24,820
2018-12-31,烧碱（32%）,886,2016-10-25,820
2019-1-7,烧碱（32%）,886,2016-10-26,820
2019-1-14,烧碱（32%）,886,2016-10-27,820
2019-1-21,烧碱（32%）,886,2016-10-28,820
2019-1-28,烧碱（32%）,869,2016-10-29,820
2019-2-4,烧碱（32%）,830,2016-10-30,820
2019-2-11,烧碱（32%）,869,2016-10-31,1100
2019-2-18,烧碱（32%）,830,2016-11-1,1100
2019-2-25,烧碱（32%）,814,2016-11-2,1100
2019-3-4,烧碱（32%）,848,2016-11-3,1100
2019-3-11,烧碱（32%）,809,2016-11-4,1100
2019-3-18,烧碱（32%）,809,2016-11-5,1100
2019-4-1,烧碱（32%）,847.47,2016-11-6,1100
2019-4-8,烧碱（32%）,847.47,2016-11-7,1050
2019-4-15,烧碱（32%）,847.47,2016-11-8,1050
2019-4-22,烧碱（32%）,852.17,2016-11-9,1050
2019-4-29,烧碱（32%）,807.78,2016-11-10,1050
2019-5-6,烧碱（32%）,807.78,2016-11-11,1050
2019-5-13,烧碱（32%）,807.78,2016-11-12,1050
2019-5-20,烧碱（32%）,773.48,2016-11-13,1050
2019-5-27,烧碱（32%）,904,2016-11-14,1100
2019-6-3,烧碱（32%）,781.64,2016-11-15,1100
2019-6-10,烧碱（32%）,781.64,2016-11-16,1100
2019-6-17,烧碱（32%）,781.64,2016-11-17,1100
2019-6-24,烧碱（32%）,904,2016-11-18,1100
2019-7-1,烧碱（32%）,730.01,2016-11-19,1100
2019-7-8,烧碱（32%）,730.01,2016-11-20,1100
2019-7-15,烧碱（32%）,730.01,2016-11-21,1034
2019-7-29,烧碱（32%）,904,2016-11-22,1034
2019-8-5,烧碱（32%）,715.14,2016-11-23,1034
