date,name,price,,
2020-4-13,环己酮,4900,2020-4-13,4900
2020-4-20,环己酮,5050,2020-4-14,4900
2021-9-27,环己酮,12400,2020-4-15,4900
2021-10-4,环己酮,12000,2020-4-16,4900
2021-10-11,环己酮,12000,2020-4-17,4900
2021-10-18,环己酮,12000,2020-4-18,4900
2021-10-25,环己酮,12000,2020-4-19,4900
,,,2020-4-20,5050
,,,2020-4-21,5050
,,,2020-4-22,5050
,,,2020-4-23,5050
,,,2020-4-24,5050
,,,2020-4-25,5050
,,,2020-4-26,5050
,,,2020-4-27,5050
,,,2020-4-28,5050
,,,2020-4-29,5050
,,,2020-4-30,5050
,,,2020-5-1,5050
,,,2020-5-2,5050
,,,2020-5-3,5050
,,,2020-5-4,5050
,,,2020-5-5,5050
,,,2020-5-6,5050
,,,2020-5-7,5050
,,,2020-5-8,5050
,,,2020-5-9,5050
,,,2020-5-10,5050
,,,2020-5-11,5050
,,,2020-5-12,5050
,,,2020-5-13,5050
,,,2020-5-14,5050
,,,2020-5-15,5050
,,,2020-5-16,5050
,,,2020-5-17,5050
,,,2020-5-18,5050
,,,2020-5-19,5050
,,,2020-5-20,5050
,,,2020-5-21,5050
,,,2020-5-22,5050
,,,2020-5-23,5050
,,,2020-5-24,5050
,,,2020-5-25,5050
,,,2020-5-26,5050
,,,2020-5-27,5050
,,,2020-5-28,5050
,,,2020-5-29,5050
,,,2020-5-30,5050
,,,2020-5-31,5050
,,,2020-6-1,5050
,,,2020-6-2,5050
,,,2020-6-3,5050
,,,2020-6-4,5050
,,,2020-6-5,5050
,,,2020-6-6,5050
,,,2020-6-7,5050
,,,2020-6-8,5050
,,,2020-6-9,5050
,,,2020-6-10,5050
,,,2020-6-11,5050
,,,2020-6-12,5050
,,,2020-6-13,5050
,,,2020-6-14,5050
,,,2020-6-15,5050
,,,2020-6-16,5050
,,,2020-6-17,5050
,,,2020-6-18,5050
,,,2020-6-19,5050
,,,2020-6-20,5050
,,,2020-6-21,5050
,,,2020-6-22,5050
,,,2020-6-23,5050
,,,2020-6-24,5050
,,,2020-6-25,5050
,,,2020-6-26,5050
,,,2020-6-27,5050
,,,2020-6-28,5050
,,,2020-6-29,5050
,,,2020-6-30,5050
,,,2020-7-1,5050
,,,2020-7-2,5050
,,,2020-7-3,5050
,,,2020-7-4,5050
,,,2020-7-5,5050
,,,2020-7-6,5050
,,,2020-7-7,5050
,,,2020-7-8,5050
,,,2020-7-9,5050
,,,2020-7-10,5050
,,,2020-7-11,5050
,,,2020-7-12,5050
,,,2020-7-13,5050
,,,2020-7-14,5050
,,,2020-7-15,5050
,,,2020-7-16,5050
,,,2020-7-17,5050
,,,2020-7-18,5050
,,,2020-7-19,5050
,,,2020-7-20,5050
,,,2020-7-21,5050
,,,2020-7-22,5050
,,,2020-7-23,5050
,,,2020-7-24,5050
,,,2020-7-25,5050
,,,2020-7-26,5050
,,,2020-7-27,5050
,,,2020-7-28,5050
,,,2020-7-29,5050
,,,2020-7-30,5050
,,,2020-7-31,5050
,,,2020-8-1,5050
,,,2020-8-2,5050
,,,2020-8-3,5050
,,,2020-8-4,5050
,,,2020-8-5,5050
,,,2020-8-6,5050
,,,2020-8-7,5050
,,,2020-8-8,5050
,,,2020-8-9,5050
,,,2020-8-10,5050
,,,2020-8-11,5050
