date,name,price,,
2022-2-1,甲酮,16248.60563,2022-2-1,16248.60563
2022-9-1,甲酮,18363.38521,2022-2-2,16248.60563
2022-11-1,甲酮,18363.38521,2022-2-3,16248.60563
2022-12-1,甲酮,12212.39,2022-2-4,16248.60563
2023-1-1,甲酮,18584.07,2022-2-5,16248.60563
2023-2-1,甲酮,18230.09,2022-2-6,16248.60563
2023-3-1,甲酮,17431.00474,2022-2-7,16248.60563
2023-4-1,甲酮,15432.50992,2022-2-8,16248.60563
2023-5-1,甲酮,10176.99115,2022-2-9,16248.60563
2023-6-1,甲酮,11557.18,2022-2-10,16248.60563
2023-7-1,甲酮,11394.74197,2022-2-11,16248.60563
2023-8-1,甲酮,11016.42,2022-2-12,16248.60563
,,,2022-2-13,16248.60563
,,,2022-2-14,16248.60563
,,,2022-2-15,16248.60563
,,,2022-2-16,16248.60563
,,,2022-2-17,16248.60563
,,,2022-2-18,16248.60563
,,,2022-2-19,16248.60563
,,,2022-2-20,16248.60563
,,,2022-2-21,16248.60563
,,,2022-2-22,16248.60563
,,,2022-2-23,16248.60563
,,,2022-2-24,16248.60563
,,,2022-2-25,16248.60563
,,,2022-2-26,16248.60563
,,,2022-2-27,16248.60563
,,,2022-2-28,16248.60563
,,,2022-3-1,16248.60563
,,,2022-3-2,16248.60563
,,,2022-3-3,16248.60563
,,,2022-3-4,16248.60563
,,,2022-3-5,16248.60563
,,,2022-3-6,16248.60563
,,,2022-3-7,16248.60563
,,,2022-3-8,16248.60563
,,,2022-3-9,16248.60563
,,,2022-3-10,16248.60563
,,,2022-3-11,16248.60563
,,,2022-3-12,16248.60563
,,,2022-3-13,16248.60563
,,,2022-3-14,16248.60563
,,,2022-3-15,16248.60563
,,,2022-3-16,16248.60563
,,,2022-3-17,16248.60563
,,,2022-3-18,16248.60563
,,,2022-3-19,16248.60563
,,,2022-3-20,16248.60563
,,,2022-3-21,16248.60563
,,,2022-3-22,16248.60563
,,,2022-3-23,16248.60563
,,,2022-3-24,16248.60563
,,,2022-3-25,16248.60563
,,,2022-3-26,16248.60563
,,,2022-3-27,16248.60563
,,,2022-3-28,16248.60563
,,,2022-3-29,16248.60563
,,,2022-3-30,16248.60563
,,,2022-3-31,16248.60563
,,,2022-4-1,16248.60563
,,,2022-4-2,16248.60563
,,,2022-4-3,16248.60563
,,,2022-4-4,16248.60563
,,,2022-4-5,16248.60563
,,,2022-4-6,16248.60563
,,,2022-4-7,16248.60563
,,,2022-4-8,16248.60563
,,,2022-4-9,16248.60563
,,,2022-4-10,16248.60563
,,,2022-4-11,16248.60563
,,,2022-4-12,16248.60563
,,,2022-4-13,16248.60563
,,,2022-4-14,16248.60563
,,,2022-4-15,16248.60563
,,,2022-4-16,16248.60563
,,,2022-4-17,16248.60563
,,,2022-4-18,16248.60563
,,,2022-4-19,16248.60563
,,,2022-4-20,16248.60563
,,,2022-4-21,16248.60563
,,,2022-4-22,16248.60563
,,,2022-4-23,16248.60563
,,,2022-4-24,16248.60563
,,,2022-4-25,16248.60563
,,,2022-4-26,16248.60563
,,,2022-4-27,16248.60563
,,,2022-4-28,16248.60563
,,,2022-4-29,16248.60563
,,,2022-4-30,16248.60563
,,,2022-5-1,16248.60563
,,,2022-5-2,16248.60563
,,,2022-5-3,16248.60563
,,,2022-5-4,16248.60563
,,,2022-5-5,16248.60563
,,,2022-5-6,16248.60563
,,,2022-5-7,16248.60563
,,,2022-5-8,16248.60563
,,,2022-5-9,16248.60563
,,,2022-5-10,16248.60563
,,,2022-5-11,16248.60563
,,,2022-5-12,16248.60563
,,,2022-5-13,16248.60563
,,,2022-5-14,16248.60563
,,,2022-5-15,16248.60563
,,,2022-5-16,16248.60563
,,,2022-5-17,16248.60563
,,,2022-5-18,16248.60563
,,,2022-5-19,16248.60563
,,,2022-5-20,16248.60563
,,,2022-5-21,16248.60563
,,,2022-5-22,16248.60563
,,,2022-5-23,16248.60563
,,,2022-5-24,16248.60563
,,,2022-5-25,16248.60563
,,,2022-5-26,16248.60563
,,,2022-5-27,16248.60563
,,,2022-5-28,16248.60563
,,,2022-5-29,16248.60563
,,,2022-5-30,16248.60563
,,,2022-5-31,16248.60563
,,,2022-6-1,16248.60563
,,,2022-6-2,16248.60563
,,,2022-6-3,16248.60563
,,,2022-6-4,16248.60563
,,,2022-6-5,16248.60563
,,,2022-6-6,16248.60563
,,,2022-6-7,16248.60563
,,,2022-6-8,16248.60563
,,,2022-6-9,16248.60563
,,,2022-6-10,16248.60563
,,,2022-6-11,16248.60563
,,,2022-6-12,16248.60563
,,,2022-6-13,16248.60563
,,,2022-6-14,16248.60563
,,,2022-6-15,16248.60563
,,,2022-6-16,16248.60563
,,,2022-6-17,16248.60563
,,,2022-6-18,16248.60563
,,,2022-6-19,16248.60563
,,,2022-6-20,16248.60563
,,,2022-6-21,16248.60563
,,,2022-6-22,16248.60563
,,,2022-6-23,16248.60563
,,,2022-6-24,16248.60563
,,,2022-6-25,16248.60563
,,,2022-6-26,16248.60563
,,,2022-6-27,16248.60563
,,,2022-6-28,16248.60563
,,,2022-6-29,16248.60563
,,,2022-6-30,16248.60563
,,,2022-7-1,16248.60563
,,,2022-7-2,16248.60563
,,,2022-7-3,16248.60563
,,,2022-7-4,16248.60563
,,,2022-7-5,16248.60563
,,,2022-7-6,16248.60563
,,,2022-7-7,16248.60563
,,,2022-7-8,16248.60563
,,,2022-7-9,16248.60563
,,,2022-7-10,16248.60563
,,,2022-7-11,16248.60563
,,,2022-7-12,16248.60563
,,,2022-7-13,16248.60563
,,,2022-7-14,16248.60563
,,,2022-7-15,16248.60563
,,,2022-7-16,16248.60563
,,,2022-7-17,16248.60563
,,,2022-7-18,16248.60563
,,,2022-7-19,16248.60563
,,,2022-7-20,16248.60563
,,,2022-7-21,16248.60563
,,,2022-7-22,16248.60563
,,,2022-7-23,16248.60563
,,,2022-7-24,16248.60563
,,,2022-7-25,16248.60563
,,,2022-7-26,16248.60563
,,,2022-7-27,16248.60563
,,,2022-7-28,16248.60563
,,,2022-7-29,16248.60563
,,,2022-7-30,16248.60563
,,,2022-7-31,16248.60563
,,,2022-8-1,16248.60563
,,,2022-8-2,16248.60563
,,,2022-8-3,16248.60563
,,,2022-8-4,16248.60563
,,,2022-8-5,16248.60563
,,,2022-8-6,16248.60563
,,,2022-8-7,16248.60563
,,,2022-8-8,16248.60563
,,,2022-8-9,16248.60563
,,,2022-8-10,16248.60563
,,,2022-8-11,16248.60563
,,,2022-8-12,16248.60563
,,,2022-8-13,16248.60563
,,,2022-8-14,16248.60563
,,,2022-8-15,16248.60563
,,,2022-8-16,16248.60563
,,,2022-8-17,16248.60563
,,,2022-8-18,16248.60563
,,,2022-8-19,16248.60563
,,,2022-8-20,16248.60563
,,,2022-8-21,16248.60563
,,,2022-8-22,16248.60563
,,,2022-8-23,16248.60563
,,,2022-8-24,16248.60563
