date,name,price,,
2022-2-1,甲醇,2584.987499,2022-2-1,2584.987499
2022-9-1,甲醇,2143.158816,2022-2-2,2584.987499
2022-11-1,甲醇,2143.158816,2022-2-3,2584.987499
2022-12-1,甲醇,2584.99,2022-2-4,2584.987499
2023-1-1,甲醇,2584.99,2022-2-5,2584.987499
2023-2-1,甲醇,2584.987499,2022-2-6,2584.987499
2023-3-1,甲醇,2464.902492,2022-2-7,2584.987499
2023-4-1,甲醇,2464.902492,2022-2-8,2584.987499
2023-5-1,甲醇,2464.902492,2022-2-9,2584.987499
2023-6-1,甲醇,2464.9,2022-2-10,2584.987499
2023-7-1,甲醇,2266.593178,2022-2-11,2584.987499
2023-8-1,甲醇,2266.59,2022-2-12,2584.987499
,,,2022-2-13,2584.987499
,,,2022-2-14,2584.987499
,,,2022-2-15,2584.987499
,,,2022-2-16,2584.987499
,,,2022-2-17,2584.987499
,,,2022-2-18,2584.987499
,,,2022-2-19,2584.987499
,,,2022-2-20,2584.987499
,,,2022-2-21,2584.987499
,,,2022-2-22,2584.987499
,,,2022-2-23,2584.987499
,,,2022-2-24,2584.987499
,,,2022-2-25,2584.987499
,,,2022-2-26,2584.987499
,,,2022-2-27,2584.987499
,,,2022-2-28,2584.987499
,,,2022-3-1,2584.987499
,,,2022-3-2,2584.987499
,,,2022-3-3,2584.987499
,,,2022-3-4,2584.987499
,,,2022-3-5,2584.987499
,,,2022-3-6,2584.987499
,,,2022-3-7,2584.987499
,,,2022-3-8,2584.987499
,,,2022-3-9,2584.987499
,,,2022-3-10,2584.987499
,,,2022-3-11,2584.987499
,,,2022-3-12,2584.987499
,,,2022-3-13,2584.987499
,,,2022-3-14,2584.987499
,,,2022-3-15,2584.987499
,,,2022-3-16,2584.987499
,,,2022-3-17,2584.987499
,,,2022-3-18,2584.987499
,,,2022-3-19,2584.987499
,,,2022-3-20,2584.987499
,,,2022-3-21,2584.987499
,,,2022-3-22,2584.987499
,,,2022-3-23,2584.987499
,,,2022-3-24,2584.987499
,,,2022-3-25,2584.987499
,,,2022-3-26,2584.987499
,,,2022-3-27,2584.987499
,,,2022-3-28,2584.987499
,,,2022-3-29,2584.987499
,,,2022-3-30,2584.987499
,,,2022-3-31,2584.987499
,,,2022-4-1,2584.987499
,,,2022-4-2,2584.987499
,,,2022-4-3,2584.987499
,,,2022-4-4,2584.987499
,,,2022-4-5,2584.987499
,,,2022-4-6,2584.987499
,,,2022-4-7,2584.987499
,,,2022-4-8,2584.987499
