date,name,price,,
2022-2-1,盐卤,389.380531,2022-2-1,389.380531
2022-9-1,盐卤,424.7787611,2022-2-2,389.380531
2022-11-1,盐卤,424.7787611,2022-2-3,389.380531
2022-12-1,盐卤,389.38,2022-2-4,389.380531
2023-1-1,盐卤,389.38,2022-2-5,389.380531
2023-2-1,盐卤,389.380531,2022-2-6,389.380531
2023-3-1,盐卤,380.5309735,2022-2-7,389.380531
2023-4-1,盐卤,371.6814159,2022-2-8,389.380531
2023-5-1,盐卤,345.1327434,2022-2-9,389.380531
2023-6-1,盐卤,345.13,2022-2-10,389.380531
2023-7-1,盐卤,323.0088496,2022-2-11,389.380531
2023-8-1,盐卤,292.04,2022-2-12,389.380531
,,,2022-2-13,389.380531
,,,2022-2-14,389.380531
,,,2022-2-15,389.380531
,,,2022-2-16,389.380531
,,,2022-2-17,389.380531
,,,2022-2-18,389.380531
,,,2022-2-19,389.380531
,,,2022-2-20,389.380531
,,,2022-2-21,389.380531
,,,2022-2-22,389.380531
,,,2022-2-23,389.380531
,,,2022-2-24,389.380531
,,,2022-2-25,389.380531
,,,2022-2-26,389.380531
,,,2022-2-27,389.380531
,,,2022-2-28,389.380531
,,,2022-3-1,389.380531
,,,2022-3-2,389.380531
,,,2022-3-3,389.380531
,,,2022-3-4,389.380531
,,,2022-3-5,389.380531
,,,2022-3-6,389.380531
,,,2022-3-7,389.380531
,,,2022-3-8,389.380531
,,,2022-3-9,389.380531
,,,2022-3-10,389.380531
,,,2022-3-11,389.380531
,,,2022-3-12,389.380531
,,,2022-3-13,389.380531
,,,2022-3-14,389.380531
,,,2022-3-15,389.380531
,,,2022-3-16,389.380531
,,,2022-3-17,389.380531
,,,2022-3-18,389.380531
,,,2022-3-19,389.380531
,,,2022-3-20,389.380531
,,,2022-3-21,389.380531
,,,2022-3-22,389.380531
,,,2022-3-23,389.380531
,,,2022-3-24,389.380531
,,,2022-3-25,389.380531
,,,2022-3-26,389.380531
,,,2022-3-27,389.380531
,,,2022-3-28,389.380531
,,,2022-3-29,389.380531
,,,2022-3-30,389.380531
,,,2022-3-31,389.380531
,,,2022-4-1,389.380531
,,,2022-4-2,389.380531
,,,2022-4-3,389.380531
,,,2022-4-4,389.380531
,,,2022-4-5,389.380531
,,,2022-4-6,389.380531
,,,2022-4-7,389.380531
,,,2022-4-8,389.380531
,,,2022-4-9,389.380531
,,,2022-4-10,389.380531
,,,2022-4-11,389.380531
,,,2022-4-12,389.380531
,,,2022-4-13,389.380531
,,,2022-4-14,389.380531
,,,2022-4-15,389.380531
,,,2022-4-16,389.380531
,,,2022-4-17,389.380531
,,,2022-4-18,389.380531
,,,2022-4-19,389.380531
,,,2022-4-20,389.380531
,,,2022-4-21,389.380531
,,,2022-4-22,389.380531
,,,2022-4-23,389.380531
,,,2022-4-24,389.380531
,,,2022-4-25,389.380531
,,,2022-4-26,389.380531
,,,2022-4-27,389.380531
,,,2022-4-28,389.380531
,,,2022-4-29,389.380531
,,,2022-4-30,389.380531
,,,2022-5-1,389.380531
,,,2022-5-2,389.380531
,,,2022-5-3,389.380531
,,,2022-5-4,389.380531
,,,2022-5-5,389.380531
,,,2022-5-6,389.380531
,,,2022-5-7,389.380531
,,,2022-5-8,389.380531
,,,2022-5-9,389.380531
,,,2022-5-10,389.380531
,,,2022-5-11,389.380531
,,,2022-5-12,389.380531
,,,2022-5-13,389.380531
,,,2022-5-14,389.380531
,,,2022-5-15,389.380531
,,,2022-5-16,389.380531
,,,2022-5-17,389.380531
,,,2022-5-18,389.380531
,,,2022-5-19,389.380531
,,,2022-5-20,389.380531
,,,2022-5-21,389.380531
,,,2022-5-22,389.380531
,,,2022-5-23,389.380531
,,,2022-5-24,389.380531
,,,2022-5-25,389.380531
,,,2022-5-26,389.380531
,,,2022-5-27,389.380531
,,,2022-5-28,389.380531
,,,2022-5-29,389.380531
,,,2022-5-30,389.380531
,,,2022-5-31,389.380531
,,,2022-6-1,389.380531
,,,2022-6-2,389.380531
,,,2022-6-3,389.380531
,,,2022-6-4,389.380531
,,,2022-6-5,389.380531
,,,2022-6-6,389.380531
,,,2022-6-7,389.380531
,,,2022-6-8,389.380531
,,,2022-6-9,389.380531
,,,2022-6-10,389.380531
,,,2022-6-11,389.380531
,,,2022-6-12,389.380531
,,,2022-6-13,389.380531
,,,2022-6-14,389.380531
,,,2022-6-15,389.380531
,,,2022-6-16,389.380531
,,,2022-6-17,389.380531
,,,2022-6-18,389.380531
,,,2022-6-19,389.380531
,,,2022-6-20,389.380531
,,,2022-6-21,389.380531
,,,2022-6-22,389.380531
,,,2022-6-23,389.380531
,,,2022-6-24,389.380531
,,,2022-6-25,389.380531
,,,2022-6-26,389.380531
,,,2022-6-27,389.380531
,,,2022-6-28,389.380531
,,,2022-6-29,389.380531
,,,2022-6-30,389.380531
,,,2022-7-1,389.380531
,,,2022-7-2,389.380531
,,,2022-7-3,389.380531
,,,2022-7-4,389.380531
,,,2022-7-5,389.380531
,,,2022-7-6,389.380531
,,,2022-7-7,389.380531
,,,2022-7-8,389.380531
,,,2022-7-9,389.380531
,,,2022-7-10,389.380531
,,,2022-7-11,389.380531
,,,2022-7-12,389.380531
,,,2022-7-13,389.380531
,,,2022-7-14,389.380531
,,,2022-7-15,389.380531
,,,2022-7-16,389.380531
,,,2022-7-17,389.380531
,,,2022-7-18,389.380531
,,,2022-7-19,389.380531
,,,2022-7-20,389.380531
,,,2022-7-21,389.380531
,,,2022-7-22,389.380531
,,,2022-7-23,389.380531
,,,2022-7-24,389.380531
,,,2022-7-25,389.380531
,,,2022-7-26,389.380531
,,,2022-7-27,389.380531
,,,2022-7-28,389.380531
,,,2022-7-29,389.380531
,,,2022-7-30,389.380531
,,,2022-7-31,389.380531
,,,2022-8-1,389.380531
,,,2022-8-2,389.380531
,,,2022-8-3,389.380531
,,,2022-8-4,389.380531
,,,2022-8-5,389.380531
,,,2022-8-6,389.380531
,,,2022-8-7,389.380531
,,,2022-8-8,389.380531
,,,2022-8-9,389.380531
,,,2022-8-10,389.380531
,,,2022-8-11,389.380531
,,,2022-8-12,389.380531
,,,2022-8-13,389.380531
,,,2022-8-14,389.380531
,,,2022-8-15,389.380531
,,,2022-8-16,389.380531
,,,2022-8-17,389.380531
,,,2022-8-18,389.380531
,,,2022-8-19,389.380531
,,,2022-8-20,389.380531
,,,2022-8-21,389.380531
,,,2022-8-22,389.380531
,,,2022-8-23,389.380531
,,,2022-8-24,389.380531
,,,2022-8-25,389.380531
,,,2022-8-26,389.380531
,,,2022-8-27,389.380531
,,,2022-8-28,389.380531
,,,2022-8-29,389.380531
,,,2022-8-30,389.380531
,,,2022-8-31,389.380531
,,,2022-9-1,424.7787611
,,,2022-9-2,424.7787611
,,,2022-9-3,424.7787611
,,,2022-9-4,424.7787611
,,,2022-9-5,424.7787611
,,,2022-9-6,424.7787611
,,,2022-9-7,424.7787611
,,,2022-9-8,424.7787611
,,,2022-9-9,424.7787611
,,,2022-9-10,424.7787611
,,,2022-9-11,424.7787611
,,,2022-9-12,424.7787611
,,,2022-9-13,424.7787611
,,,2022-9-14,424.7787611
,,,2022-9-15,424.7787611
,,,2022-9-16,424.7787611
,,,2022-9-17,424.7787611
,,,2022-9-18,424.7787611
,,,2022-9-19,424.7787611
,,,2022-9-20,424.7787611
,,,2022-9-21,424.7787611
,,,2022-9-22,424.7787611
,,,2022-9-23,424.7787611
,,,2022-9-24,424.7787611
,,,2022-9-25,424.7787611
,,,2022-9-26,424.7787611
,,,2022-9-27,424.7787611
,,,2022-9-28,424.7787611
,,,2022-9-29,424.7787611
,,,2022-9-30,424.7787611
,,,2022-10-1,424.7787611
,,,2022-10-2,424.7787611
,,,2022-10-3,424.7787611
,,,2022-10-4,424.7787611
,,,2022-10-5,424.7787611
,,,2022-10-6,424.7787611
,,,2022-10-7,424.7787611
,,,2022-10-8,424.7787611
,,,2022-10-9,424.7787611
