date,name,price,,
2016-7-4,硝基苯,4700,2016-7-4,4700
2016-7-11,硝基苯,4700,2016-7-5,4700
2016-7-18,硝基苯,4800,2016-7-6,4700
2016-7-25,硝基苯,4519,2016-7-7,4700
2016-8-1,硝基苯,4650,2016-7-8,4700
2016-8-8,硝基苯,4650,2016-7-9,4700
2016-8-15,硝基苯,4450,2016-7-10,4700
2016-8-22,硝基苯,4537,2016-7-11,4700
2016-8-29,硝基苯,4537,2016-7-12,4700
2016-9-5,硝基苯,4800,2016-7-13,4700
2016-9-12,硝基苯,4600,2016-7-14,4700
2016-9-19,硝基苯,4800,2016-7-15,4700
2016-9-26,硝基苯,4600,2016-7-16,4700
2016-10-3,硝基苯,4712,2016-7-17,4700
2016-10-10,硝基苯,4712,2016-7-18,4800
2016-10-17,硝基苯,4712,2016-7-19,4800
2016-10-24,硝基苯,4712,2016-7-20,4800
2016-10-31,硝基苯,4974,2016-7-21,4800
2016-11-7,硝基苯,4974,2016-7-22,4800
2016-11-14,硝基苯,4974,2016-7-23,4800
2016-11-21,硝基苯,5450,2016-7-24,4800
2016-11-28,硝基苯,4974,2016-7-25,4519
2016-12-5,硝基苯,5600,2016-7-26,4519
2016-12-12,硝基苯,6200,2016-7-27,4519
2016-12-19,硝基苯,6650,2016-7-28,4519
2016-12-26,硝基苯,6024,2016-7-29,4519
2017-1-2,硝基苯,6250,2016-7-30,4519
2017-1-9,硝基苯,6850,2016-7-31,4519
2017-1-16,硝基苯,6500,2016-8-1,4650
2017-1-23,硝基苯,6388,2016-8-2,4650
2017-1-30,硝基苯,7036,2016-8-3,4650
2017-2-6,硝基苯,7036,2016-8-4,4650
2017-2-13,硝基苯,7036,2016-8-5,4650
2017-2-20,硝基苯,7036,2016-8-6,4650
2017-2-27,硝基苯,7036,2016-8-7,4650
2017-3-6,硝基苯,6700,2016-8-8,4650
2017-3-13,硝基苯,6500,2016-8-9,4650
2017-3-20,硝基苯,6350,2016-8-10,4650
2017-3-27,硝基苯,6050,2016-8-11,4650
2017-4-3,硝基苯,5850,2016-8-12,4650
2017-4-10,硝基苯,5950,2016-8-13,4650
2017-4-17,硝基苯,5855,2016-8-14,4650
2017-4-24,硝基苯,6800,2016-8-15,4450
2017-5-1,硝基苯,6800,2016-8-16,4450
2017-5-8,硝基苯,6800,2016-8-17,4450
2017-5-15,硝基苯,6450,2016-8-18,4450
2017-5-22,硝基苯,6450,2016-8-19,4450
2017-5-29,硝基苯,6450,2016-8-20,4450
2017-6-5,硝基苯,6450,2016-8-21,4450
2017-6-12,硝基苯,6450,2016-8-22,4537
2017-6-19,硝基苯,6450,2016-8-23,4537
2017-6-26,硝基苯,5593,2016-8-24,4537
2017-7-3,硝基苯,6600,2016-8-25,4537
2017-7-10,硝基苯,6600,2016-8-26,4537
2017-7-17,硝基苯,6600,2016-8-27,4537
2017-7-24,硝基苯,6400,2016-8-28,4537
2017-7-31,硝基苯,6200,2016-8-29,4537
2017-8-7,硝基苯,6400,2016-8-30,4537
2017-8-14,硝基苯,6400,2016-8-31,4537
2017-8-21,硝基苯,6400,2016-9-1,4537
2017-8-28,硝基苯,5490,2016-9-2,4537
2017-9-4,硝基苯,6300,2016-9-3,4537
2017-9-11,硝基苯,6300,2016-9-4,4537
2017-9-18,硝基苯,6250,2016-9-5,4800
2017-9-25,硝基苯,5652,2016-9-6,4800
2017-10-2,硝基苯,6250,2016-9-7,4800
2017-10-9,硝基苯,6250,2016-9-8,4800
2017-10-16,硝基苯,6250,2016-9-9,4800
2017-10-23,硝基苯,6250,2016-9-10,4800
2017-10-30,硝基苯,6250,2016-9-11,4800
2017-11-6,硝基苯,6500,2016-9-12,4600
2017-11-13,硝基苯,6350,2016-9-13,4600
2017-11-20,硝基苯,6350,2016-9-14,4600
2017-11-27,硝基苯,7000,2016-9-15,4600
2017-12-4,硝基苯,6850,2016-9-16,4600
2017-12-11,硝基苯,6950,2016-9-17,4600
2017-12-18,硝基苯,7000,2016-9-18,4600
2017-12-25,硝基苯,7000,2016-9-19,4800
2018-1-1,硝基苯,6900,2016-9-20,4800
2018-1-8,硝基苯,6900,2016-9-21,4800
2018-1-15,硝基苯,7000,2016-9-22,4800
2018-1-22,硝基苯,6950,2016-9-23,4800
2018-1-29,硝基苯,6514,2016-9-24,4800
2018-2-5,硝基苯,6501,2016-9-25,4800
2018-2-12,硝基苯,6501,2016-9-26,4600
2018-2-19,硝基苯,6501,2016-9-27,4600
2018-2-26,硝基苯,6501,2016-9-28,4600
2018-3-5,硝基苯,6141,2016-9-29,4600
2018-3-12,硝基苯,6141,2016-9-30,4600
2018-3-19,硝基苯,6141,2016-10-1,4600
2018-3-26,硝基苯,6141,2016-10-2,4600
2018-4-2,硝基苯,6300,2016-10-3,4712
2018-4-9,硝基苯,6400,2016-10-4,4712
2018-4-16,硝基苯,6300,2016-10-5,4712
2018-4-23,硝基苯,5721,2016-10-6,4712
2018-4-30,硝基苯,6300,2016-10-7,4712
2018-5-7,硝基苯,6200,2016-10-8,4712
2018-5-14,硝基苯,6200,2016-10-9,4712
2018-5-21,硝基苯,6200,2016-10-10,4712
2018-5-28,硝基苯,6200,2016-10-11,4712
2018-6-4,硝基苯,6300,2016-10-12,4712
2018-6-11,硝基苯,6250,2016-10-13,4712
2018-6-18,硝基苯,6250,2016-10-14,4712
2018-6-25,硝基苯,5970,2016-10-15,4712
2018-7-2,硝基苯,6100,2016-10-16,4712
2018-7-9,硝基苯,6100,2016-10-17,4712
2018-7-16,硝基苯,6450,2016-10-18,4712
2018-7-23,硝基苯,5926,2016-10-19,4712
2018-7-30,硝基苯,5856,2016-10-20,4712
2018-8-6,硝基苯,6400,2016-10-21,4712
2018-8-13,硝基苯,6650,2016-10-22,4712
2018-8-20,硝基苯,7000,2016-10-23,4712
2018-8-27,硝基苯,6441,2016-10-24,4712
2018-9-3,硝基苯,6453,2016-10-25,4712
2018-9-10,硝基苯,6453,2016-10-26,4712
2018-9-17,硝基苯,6453,2016-10-27,4712
2018-9-24,硝基苯,6453,2016-10-28,4712
2018-10-1,硝基苯,6500,2016-10-29,4712
2018-10-8,硝基苯,6500,2016-10-30,4712
2018-10-15,硝基苯,6800,2016-10-31,4974
2018-10-22,硝基苯,6500,2016-11-1,4974
2018-10-29,硝基苯,6800,2016-11-2,4974
2018-11-5,硝基苯,6154,2016-11-3,4974
2018-11-12,硝基苯,6224,2016-11-4,4974
2018-11-19,硝基苯,6154,2016-11-5,4974
2018-11-26,硝基苯,6100,2016-11-6,4974
2018-12-3,硝基苯,5700,2016-11-7,4974
2018-12-10,硝基苯,6000,2016-11-8,4974
2018-12-17,硝基苯,5650,2016-11-9,4974
2018-12-24,硝基苯,5450,2016-11-10,4974
2018-12-31,硝基苯,4805,2016-11-11,4974
2019-1-7,硝基苯,4805,2016-11-12,4974
2019-1-14,硝基苯,5250,2016-11-13,4974
2019-1-21,硝基苯,5250,2016-11-14,4974
2019-1-28,硝基苯,4805,2016-11-15,4974
2019-2-11,硝基苯,5450,2016-11-16,4974
2019-2-18,硝基苯,5450,2016-11-17,4974
2019-2-25,硝基苯,5250,2016-11-18,4974
2019-3-4,硝基苯,5250,2016-11-19,4974
2019-3-11,硝基苯,4953,2016-11-20,4974
2019-3-18,硝基苯,4953,2016-11-21,5450
2019-3-25,硝基苯,4953,2016-11-22,5450
2019-4-1,硝基苯,4750,2016-11-23,5450
2019-4-8,硝基苯,4750,2016-11-24,5450
2019-4-15,硝基苯,5100,2016-11-25,5450
2019-4-22,硝基苯,4643,2016-11-26,5450
2019-4-29,硝基苯,5200,2016-11-27,5450
2019-5-6,硝基苯,4950,2016-11-28,4974
2019-5-13,硝基苯,5200,2016-11-29,4974
2019-5-20,硝基苯,4850,2016-11-30,4974
2019-5-27,硝基苯,4793,2016-12-1,4974
2019-6-3,硝基苯,4950,2016-12-2,4974
2019-6-10,硝基苯,4950,2016-12-3,4974
2019-6-17,硝基苯,5000,2016-12-4,4974
2019-7-8,硝基苯,5500,2016-12-5,5600
2019-9-9,硝基苯,5200,2016-12-6,5600
2019-9-16,硝基苯,5200,2016-12-7,5600
2019-9-23,硝基苯,5800,2016-12-8,5600
2019-9-30,硝基苯,5900,2016-12-9,5600
2019-10-7,硝基苯,5900,2016-12-10,5600
2019-12-30,硝基苯,5300,2016-12-11,5600
2020-1-6,硝基苯,5400,2016-12-12,6200
2020-1-13,硝基苯,5400,2016-12-13,6200
2020-1-20,硝基苯,5450,2016-12-14,6200
2020-1-27,硝基苯,5450,2016-12-15,6200
