date,name,price,,
2022-9-1,硫酸（98%）,289.55,2022-9-1,289.55
2022-11-1,硫酸（98%）,289.55,2022-9-2,289.55
2023-1-1,硫酸（98%）,289.55,2022-9-3,289.55
2022-12-1,硫酸（98%）,289.55,2022-9-4,289.55
2022-2-1,硫酸（98%）,289.55,2022-9-5,289.55
2023-2-1,硫酸（98%）,289.55,2022-9-6,289.55
2023-3-1,硫酸（98%）,306.4469985,2022-9-7,289.55
2023-4-1,硫酸（98%）,250.0826342,2022-9-8,289.55
2023-5-1,硫酸（98%）,169.8057834,2022-9-9,289.55
2023-6-1,硫酸（98%）,169.81,2022-9-10,289.55
2023-6-1,硫酸（98%）,186.15,2022-9-11,289.55
2023-7-1,硫酸（98%）,135.0833525,2022-9-12,289.55
2023-8-1,硫酸（98%）,133.01,2022-9-13,289.55
,,,2022-9-14,289.55
,,,2022-9-15,289.55
,,,2022-9-16,289.55
,,,2022-9-17,289.55
,,,2022-9-18,289.55
,,,2022-9-19,289.55
,,,2022-9-20,289.55
,,,2022-9-21,289.55
,,,2022-9-22,289.55
,,,2022-9-23,289.55
,,,2022-9-24,289.55
,,,2022-9-25,289.55
,,,2022-9-26,289.55
,,,2022-9-27,289.55
,,,2022-9-28,289.55
,,,2022-9-29,289.55
,,,2022-9-30,289.55
,,,2022-10-1,289.55
,,,2022-10-2,289.55
,,,2022-10-3,289.55
,,,2022-10-4,289.55
,,,2022-10-5,289.55
,,,2022-10-6,289.55
,,,2022-10-7,289.55
,,,2022-10-8,289.55
,,,2022-10-9,289.55
,,,2022-10-10,289.55
,,,2022-10-11,289.55
,,,2022-10-12,289.55
,,,2022-10-13,289.55
,,,2022-10-14,289.55
,,,2022-10-15,289.55
,,,2022-10-16,289.55
,,,2022-10-17,289.55
,,,2022-10-18,289.55
,,,2022-10-19,289.55
,,,2022-10-20,289.55
,,,2022-10-21,289.55
,,,2022-10-22,289.55
,,,2022-10-23,289.55
,,,2022-10-24,289.55
,,,2022-10-25,289.55
,,,2022-10-26,289.55
,,,2022-10-27,289.55
,,,2022-10-28,289.55
,,,2022-10-29,289.55
,,,2022-10-30,289.55
,,,2022-10-31,289.55
,,,2022-11-1,289.55
,,,2022-11-2,289.55
,,,2022-11-3,289.55
,,,2022-11-4,289.55
,,,2022-11-5,289.55
,,,2022-11-6,289.55
,,,2022-11-7,289.55
,,,2022-11-8,289.55
,,,2022-11-9,289.55
,,,2022-11-10,289.55
,,,2022-11-11,289.55
,,,2022-11-12,289.55
,,,2022-11-13,289.55
,,,2022-11-14,289.55
,,,2022-11-15,289.55
,,,2022-11-16,289.55
,,,2022-11-17,289.55
,,,2022-11-18,289.55
,,,2022-11-19,289.55
,,,2022-11-20,289.55
,,,2022-11-21,289.55
,,,2022-11-22,289.55
,,,2022-11-23,289.55
,,,2022-11-24,289.55
,,,2022-11-25,289.55
,,,2022-11-26,289.55
,,,2022-11-27,289.55
,,,2022-11-28,289.55
,,,2022-11-29,289.55
,,,2022-11-30,289.55
,,,2022-12-1,289.55
,,,2022-12-2,289.55
,,,2022-12-3,289.55
,,,2022-12-4,289.55
,,,2022-12-5,289.55
,,,2022-12-6,289.55
,,,2022-12-7,289.55
,,,2022-12-8,289.55
,,,2022-12-9,289.55
,,,2022-12-10,289.55
,,,2022-12-11,289.55
,,,2022-12-12,289.55
,,,2022-12-13,289.55
,,,2022-12-14,289.55
,,,2022-12-15,289.55
,,,2022-12-16,289.55
,,,2022-12-17,289.55
,,,2022-12-18,289.55
,,,2022-12-19,289.55
,,,2022-12-20,289.55
,,,2022-12-21,289.55
,,,2022-12-22,289.55
,,,2022-12-23,289.55
,,,2022-12-24,289.55
,,,2022-12-25,289.55
,,,2022-12-26,289.55
,,,2022-12-27,289.55
,,,2022-12-28,289.55
,,,2022-12-29,289.55
,,,2022-12-30,289.55
,,,2022-12-31,289.55
,,,2023-1-1,289.55
,,,2023-1-2,289.55
,,,2023-1-3,289.55
,,,2023-1-4,289.55
,,,2023-1-5,289.55
,,,2023-1-6,289.55
,,,2023-1-7,289.55
,,,2023-1-8,289.55
,,,2023-1-9,289.55
,,,2023-1-10,289.55
,,,2023-1-11,289.55
,,,2023-1-12,289.55
,,,2023-1-13,289.55
,,,2023-1-14,289.55
,,,2023-1-15,289.55
,,,2023-1-16,289.55
,,,2023-1-17,289.55
,,,2023-1-18,289.55
,,,2023-1-19,289.55
,,,2023-1-20,289.55
,,,2023-1-21,289.55
,,,2023-1-22,289.55
,,,2023-1-23,289.55
,,,2023-1-24,289.55
,,,2023-1-25,289.55
,,,2023-1-26,289.55
,,,2023-1-27,289.55
,,,2023-1-28,289.55
,,,2023-1-29,289.55
,,,2023-1-30,289.55
,,,2023-1-31,289.55
,,,2023-2-1,289.55
,,,2023-2-2,289.55
,,,2023-2-3,289.55
,,,2023-2-4,289.55
,,,2023-2-5,289.55
,,,2023-2-6,289.55
,,,2023-2-7,289.55
,,,2023-2-8,289.55
,,,2023-2-9,289.55
,,,2023-2-10,289.55
,,,2023-2-11,289.55
,,,2023-2-12,289.55
,,,2023-2-13,289.55
,,,2023-2-14,289.55
,,,2023-2-15,289.55
,,,2023-2-16,289.55
,,,2023-2-17,289.55
,,,2023-2-18,289.55
,,,2023-2-19,289.55
,,,2023-2-20,289.55
,,,2023-2-21,289.55
,,,2023-2-22,289.55
,,,2023-2-23,289.55
,,,2023-2-24,289.55
,,,2023-2-25,289.55
,,,2023-2-26,289.55
,,,2023-2-27,289.55
,,,2023-2-28,289.55
,,,2023-3-1,306.4469985
,,,2023-3-2,306.4469985
,,,2023-3-3,306.4469985
,,,2023-3-4,306.4469985
,,,2023-3-5,306.4469985
