date,name,price,,
2022-2-1,纯苯,5401.69613,2022-2-1,5401.69613
2022-9-1,纯苯,5814.518856,2022-2-2,5401.69613
2022-11-1,纯苯,5814.518856,2022-2-3,5401.69613
2022-12-1,纯苯,5152.21,2022-2-4,5401.69613
2023-1-1,纯苯,5594.69,2022-2-5,5401.69613
2023-2-1,纯苯,5594.69,2022-2-6,5401.69613
2023-3-1,纯苯,5515.508838,2022-2-7,5401.69613
2023-4-1,纯苯,5720.412916,2022-2-8,5401.69613
2023-5-1,纯苯,5872.005062,2022-2-9,5401.69613
2023-6-1,纯苯,5310.8,2022-2-10,5401.69613
2023-7-1,纯苯,4992.286748,2022-2-11,5401.69613
2023-8-1,纯苯,5377.95,2022-2-12,5401.69613
,,,2022-2-13,5401.69613
,,,2022-2-14,5401.69613
,,,2022-2-15,5401.69613
,,,2022-2-16,5401.69613
,,,2022-2-17,5401.69613
,,,2022-2-18,5401.69613
,,,2022-2-19,5401.69613
,,,2022-2-20,5401.69613
,,,2022-2-21,5401.69613
,,,2022-2-22,5401.69613
,,,2022-2-23,5401.69613
,,,2022-2-24,5401.69613
,,,2022-2-25,5401.69613
,,,2022-2-26,5401.69613
,,,2022-2-27,5401.69613
,,,2022-2-28,5401.69613
,,,2022-3-1,5401.69613
,,,2022-3-2,5401.69613
,,,2022-3-3,5401.69613
,,,2022-3-4,5401.69613
,,,2022-3-5,5401.69613
,,,2022-3-6,5401.69613
,,,2022-3-7,5401.69613
,,,2022-3-8,5401.69613
,,,2022-3-9,5401.69613
,,,2022-3-10,5401.69613
,,,2022-3-11,5401.69613
,,,2022-3-12,5401.69613
,,,2022-3-13,5401.69613
,,,2022-3-14,5401.69613
,,,2022-3-15,5401.69613
,,,2022-3-16,5401.69613
,,,2022-3-17,5401.69613
,,,2022-3-18,5401.69613
,,,2022-3-19,5401.69613
,,,2022-3-20,5401.69613
,,,2022-3-21,5401.69613
,,,2022-3-22,5401.69613
,,,2022-3-23,5401.69613
,,,2022-3-24,5401.69613
,,,2022-3-25,5401.69613
