date,name,price,,
2017-3-13,防老剂4010NA,24900,2019-9-16,15830
2017-3-20,防老剂4010NA,24600,2019-9-17,15830
2017-3-27,防老剂4010NA,23500,2019-9-18,15830
2017-4-3,防老剂4010NA,22500,2019-9-19,15830
2017-4-17,防老剂4010NA,22500,2019-9-20,15830
2017-7-17,防老剂4010NA,18750,2019-9-21,15830
2017-7-24,防老剂4010NA,18600,2019-9-22,15830
2017-7-31,防老剂4010NA,18700,2019-9-23,17100
2017-8-7,防老剂4010NA,22000,2019-9-24,17100
2017-8-14,防老剂4010NA,19700,2019-9-25,17100
2017-8-21,防老剂4010NA,23000,2019-9-26,17100
2017-8-28,防老剂4010NA,25000,2019-9-27,17100
2017-9-4,防老剂4010NA,24000,2019-9-28,17100
2018-2-26,防老剂4010NA,22000,2019-9-29,17100
2018-3-5,防老剂4010NA,22200,2019-9-30,16550
2018-3-12,防老剂4010NA,22200,2019-10-1,16550
2018-3-19,防老剂4010NA,24500,2019-10-2,16550
2018-3-26,防老剂4010NA,21300,2019-10-3,16550
2018-4-2,防老剂4010NA,20600,2019-10-4,16550
2018-4-9,防老剂4010NA,21000,2019-10-5,16550
2018-4-16,防老剂4010NA,20000,2019-10-6,16550
2018-4-23,防老剂4010NA,20300,2019-10-7,16700
2018-4-30,防老剂4010NA,20100,2019-10-8,16700
2018-5-7,防老剂4010NA,20100,2019-10-9,16700
2018-5-14,防老剂4010NA,19900,2019-10-10,16700
2018-6-18,防老剂4010NA,18800,2019-10-11,16700
2018-6-25,防老剂4010NA,19900,2019-10-12,16700
2018-7-2,防老剂4010NA,19300,2019-10-13,16700
2018-7-9,防老剂4010NA,19500,2019-10-14,16250
2018-7-16,防老剂4010NA,17600,2019-10-15,16250
2018-7-23,防老剂4010NA,17600,2019-10-16,16250
2018-7-30,防老剂4010NA,17500,2019-10-17,16250
2018-8-6,防老剂4010NA,18500,2019-10-18,16250
2018-8-13,防老剂4010NA,17000,2019-10-19,16250
2018-8-20,防老剂4010NA,16800,2019-10-20,16250
2018-8-27,防老剂4010NA,16600,2019-10-21,16337
2018-9-3,防老剂4010NA,17000,2019-10-22,16337
2018-9-10,防老剂4010NA,16600,2019-10-23,16337
2018-9-17,防老剂4010NA,16400,2019-10-24,16337
2018-10-15,防老剂4010NA,17100,2019-10-25,16337
2019-2-11,防老剂4010NA,15600,2019-10-26,16337
2019-2-18,防老剂4010NA,15600,2019-10-27,16337
2019-2-25,防老剂4010NA,14700,2019-10-28,16000
2019-3-4,防老剂4010NA,15200,2019-10-29,16000
2019-3-11,防老剂4010NA,15700,2019-10-30,16000
2019-3-18,防老剂4010NA,15800,2019-10-31,16000
2019-3-25,防老剂4010NA,14800,2019-11-1,16000
2019-4-1,防老剂4010NA,18600,2019-11-2,16000
2019-4-8,防老剂4010NA,17800,2019-11-3,16000
2019-4-15,防老剂4010NA,17800,2019-11-4,16200
2019-4-22,防老剂4010NA,17800,2019-11-5,16200
2019-8-19,防老剂4010NA,15950,2019-11-6,16200
2019-8-26,防老剂4010NA,16000,2019-11-7,16200
2019-9-2,防老剂4010NA,15600,2019-11-8,16200
2019-9-9,防老剂4010NA,15880,2019-11-9,16200
2019-9-16,防老剂4010NA,15830,2019-11-10,16200
2019-9-23,防老剂4010NA,17100,2019-11-11,16200
2019-9-30,防老剂4010NA,16550,2019-11-12,16200
2019-10-7,防老剂4010NA,16700,2019-11-13,16200
2019-10-14,防老剂4010NA,16250,2019-11-14,16200
2019-10-21,防老剂4010NA,16337,2019-11-15,16200
2019-10-28,防老剂4010NA,16000,2019-11-16,16200
2019-11-4,防老剂4010NA,16200,2019-11-17,16200
2019-12-2,防老剂4010NA,17000,2019-11-18,16200
2020-1-13,防老剂4010NA,16150,2019-11-19,16200
2020-2-10,防老剂4010NA,16600,2019-11-20,16200
2020-2-17,防老剂4010NA,15900,2019-11-21,16200
2020-2-24,防老剂4010NA,15900,2019-11-22,16200
2020-3-2,防老剂4010NA,16000,2019-11-23,16200
2020-3-9,防老剂4010NA,15900,2019-11-24,16200
2020-3-16,防老剂4010NA,16300,2019-11-25,16200
2020-3-23,防老剂4010NA,17800,2019-11-26,16200
2020-3-30,防老剂4010NA,15800,2019-11-27,16200
2020-4-6,防老剂4010NA,15400,2019-11-28,16200
2020-4-13,防老剂4010NA,15500,2019-11-29,16200
2020-4-20,防老剂4010NA,14880,2019-11-30,16200
2020-4-27,防老剂4010NA,15100,2019-12-1,16200
2020-5-4,防老剂4010NA,14080,2019-12-2,17000
2020-5-11,防老剂4010NA,14300,2019-12-3,17000
2020-5-18,防老剂4010NA,14500,2019-12-4,17000
2020-5-25,防老剂4010NA,13800,2019-12-5,17000
2020-6-1,防老剂4010NA,14400,2019-12-6,17000
2020-6-8,防老剂4010NA,15000,2019-12-7,17000
2020-6-15,防老剂4010NA,14200,2019-12-8,17000
2020-6-22,防老剂4010NA,15500,2019-12-9,17000
2020-6-29,防老剂4010NA,13800,2019-12-10,17000
2020-7-6,防老剂4010NA,16800,2019-12-11,17000
2020-7-13,防老剂4010NA,17500,2019-12-12,17000
2020-7-20,防老剂4010NA,15800,2019-12-13,17000
2020-7-27,防老剂4010NA,15400,2019-12-14,17000
2020-8-3,防老剂4010NA,15500,2019-12-15,17000
2020-8-10,防老剂4010NA,15000,2019-12-16,17000
2020-8-17,防老剂4010NA,17000,2019-12-17,17000
2020-8-24,防老剂4010NA,15100,2019-12-18,17000
2020-8-31,防老剂4010NA,15100,2019-12-19,17000
2020-9-7,防老剂4010NA,15550,2019-12-20,17000
2020-9-14,防老剂4010NA,14800,2019-12-21,17000
2020-9-21,防老剂4010NA,16000,2019-12-22,17000
2020-9-28,防老剂4010NA,16700,2019-12-23,17000
