date,name,price,,
2016-7-4,防老剂6PPD,13700,2016-7-4,13700
2016-7-11,防老剂6PPD,14000,2016-7-5,13700
2016-7-18,防老剂6PPD,14100,2016-7-6,13700
2016-7-25,防老剂6PPD,13600,2016-7-7,13700
2016-8-1,防老剂6PPD,14700,2016-7-8,13700
2016-8-8,防老剂6PPD,13338,2016-7-9,13700
2016-8-15,防老剂6PPD,13600,2016-7-10,13700
2016-8-22,防老剂6PPD,13600,2016-7-11,14000
2016-8-29,防老剂6PPD,17000,2016-7-12,14000
2016-9-12,防老剂6PPD,13338,2016-7-13,14000
2016-9-19,防老剂6PPD,13923,2016-7-14,14000
2016-9-26,防老剂6PPD,13600,2016-7-15,14000
2016-10-3,防老剂6PPD,13600,2016-7-16,14000
2016-10-10,防老剂6PPD,14300,2016-7-17,14000
2016-10-17,防老剂6PPD,14300,2016-7-18,14100
2016-10-24,防老剂6PPD,14300,2016-7-19,14100
2016-10-31,防老剂6PPD,14300,2016-7-20,14100
2016-11-7,防老剂6PPD,15400,2016-7-21,14100
2016-11-14,防老剂6PPD,14300,2016-7-22,14100
2016-11-21,防老剂6PPD,14800,2016-7-23,14100
2016-11-28,防老剂6PPD,15000,2016-7-24,14100
2016-12-5,防老剂6PPD,15561,2016-7-25,13600
2016-12-12,防老剂6PPD,15666.3,2016-7-26,13600
2016-12-19,防老剂6PPD,15561,2016-7-27,13600
2016-12-26,防老剂6PPD,19000,2016-7-28,13600
2017-1-2,防老剂6PPD,19000,2016-7-29,13600
2017-1-9,防老剂6PPD,16400,2016-7-30,13600
2017-1-16,防老剂6PPD,18369,2016-7-31,13600
2017-1-23,防老剂6PPD,19900,2016-8-1,14700
2017-1-30,防老剂6PPD,17200,2016-8-2,14700
2017-2-6,防老剂6PPD,17200,2016-8-3,14700
2017-2-13,防老剂6PPD,14800,2016-8-4,14700
2017-2-20,防老剂6PPD,24400,2016-8-5,14700
2017-2-27,防老剂6PPD,21000,2016-8-6,14700
2017-3-6,防老剂6PPD,16380,2016-8-7,14700
2017-3-13,防老剂6PPD,16380,2016-8-8,13338
2017-3-20,防老剂6PPD,18369,2016-8-9,13338
2017-3-27,防老剂6PPD,20000,2016-8-10,13338
2017-4-3,防老剂6PPD,20800,2016-8-11,13338
2017-4-10,防老剂6PPD,22000,2016-8-12,13338
2017-4-17,防老剂6PPD,20000,2016-8-13,13338
2017-4-24,防老剂6PPD,19500,2016-8-14,13338
2017-5-1,防老剂6PPD,22464,2016-8-15,13600
2017-5-8,防老剂6PPD,22000,2016-8-16,13600
2017-5-15,防老剂6PPD,20500,2016-8-17,13600
2017-5-22,防老剂6PPD,19700,2016-8-18,13600
2017-5-29,防老剂6PPD,18770,2016-8-19,13600
2017-6-5,防老剂6PPD,19800,2016-8-20,13600
2017-6-12,防老剂6PPD,19300,2016-8-21,13600
2017-6-19,防老剂6PPD,21800,2016-8-22,13600
2017-6-26,防老剂6PPD,19500,2016-8-23,13600
2017-7-3,防老剂6PPD,17500,2016-8-24,13600
2017-7-10,防老剂6PPD,19773,2016-8-25,13600
2017-7-17,防老剂6PPD,18500,2016-8-26,13600
2017-7-24,防老剂6PPD,16700,2016-8-27,13600
2017-7-31,防老剂6PPD,18800,2016-8-28,13600
2017-8-7,防老剂6PPD,17000,2016-8-29,17000
2017-8-14,防老剂6PPD,20709,2016-8-30,17000
2017-8-21,防老剂6PPD,18100,2016-8-31,17000
2017-8-28,防老剂6PPD,17100,2016-9-1,17000
2017-9-4,防老剂6PPD,23800,2016-9-2,17000
2017-9-11,防老剂6PPD,23800,2016-9-3,17000
2017-9-18,防老剂6PPD,19199.7,2016-9-4,17000
2017-9-25,防老剂6PPD,20709,2016-9-5,17000
2017-10-2,防老剂6PPD,19800,2016-9-6,17000
2017-10-9,防老剂6PPD,22000,2016-9-7,17000
2017-10-16,防老剂6PPD,22900,2016-9-8,17000
2017-10-23,防老剂6PPD,22592.7,2016-9-9,17000
2017-10-30,防老剂6PPD,22500,2016-9-10,17000
2017-11-6,防老剂6PPD,21000,2016-9-11,17000
2017-11-13,防老剂6PPD,23283,2016-9-12,13338
2017-11-20,防老剂6PPD,19731,2016-9-13,13338
2017-11-27,防老剂6PPD,22800,2016-9-14,13338
2017-12-4,防老剂6PPD,25740,2016-9-15,13338
2017-12-11,防老剂6PPD,23500,2016-9-16,13338
2017-12-18,防老剂6PPD,23600,2016-9-17,13338
2017-12-25,防老剂6PPD,23600,2016-9-18,13338
2018-1-1,防老剂6PPD,22800,2016-9-19,13923
2018-1-8,防老剂6PPD,22600,2016-9-20,13923
2018-1-15,防老剂6PPD,23300,2016-9-21,13923
2018-1-22,防老剂6PPD,22000,2016-9-22,13923
2018-1-29,防老剂6PPD,22000,2016-9-23,13923
2018-2-5,防老剂6PPD,23500,2016-9-24,13923
2018-2-19,防老剂6PPD,22200,2016-9-25,13923
2018-2-26,防老剂6PPD,23000,2016-9-26,13600
2018-3-5,防老剂6PPD,21000,2016-9-27,13600
2018-3-12,防老剂6PPD,21800,2016-9-28,13600
2018-3-19,防老剂6PPD,21100,2016-9-29,13600
2018-3-26,防老剂6PPD,22500,2016-9-30,13600
2018-4-2,防老剂6PPD,19700,2016-10-1,13600
2018-4-9,防老剂6PPD,22486,2016-10-2,13600
2018-4-16,防老剂6PPD,19600,2016-10-3,13600
2018-4-23,防老剂6PPD,20500,2016-10-4,13600
2018-4-30,防老剂6PPD,20500,2016-10-5,13600
2018-5-7,防老剂6PPD,22678,2016-10-6,13600
2018-5-14,防老剂6PPD,20300,2016-10-7,13600
2018-5-21,防老剂6PPD,20400,2016-10-8,13600
2018-5-28,防老剂6PPD,19900,2016-10-9,13600
2018-6-4,防老剂6PPD,19400,2016-10-10,14300
2018-6-11,防老剂6PPD,22098,2016-10-11,14300
2018-6-18,防老剂6PPD,21715.2,2016-10-12,14300
