date,name,price,,
2016-7-4,防老剂TMQ,9800,2016-7-4,9800
2016-7-11,防老剂TMQ,10100,2016-7-5,9800
2016-7-18,防老剂TMQ,10700,2016-7-6,9800
2016-7-25,防老剂TMQ,10300,2016-7-7,9800
2016-8-1,防老剂TMQ,10500,2016-7-8,9800
2016-8-8,防老剂TMQ,10600,2016-7-9,9800
2016-8-15,防老剂TMQ,10500,2016-7-10,9800
2016-8-22,防老剂TMQ,10000,2016-7-11,10100
2016-8-29,防老剂TMQ,10700,2016-7-12,10100
2016-9-5,防老剂TMQ,10500,2016-7-13,10100
2016-9-12,防老剂TMQ,10700,2016-7-14,10100
2016-9-19,防老剂TMQ,11300,2016-7-15,10100
2016-9-26,防老剂TMQ,9600,2016-7-16,10100
2016-10-3,防老剂TMQ,11499.93,2016-7-17,10100
2016-10-10,防老剂TMQ,12000,2016-7-18,10700
2016-10-17,防老剂TMQ,11300,2016-7-19,10700
2016-10-24,防老剂TMQ,12000,2016-7-20,10700
2016-10-31,防老剂TMQ,13300,2016-7-21,10700
2016-11-7,防老剂TMQ,11400,2016-7-22,10700
2016-11-14,防老剂TMQ,10499.58,2016-7-23,10700
2016-11-21,防老剂TMQ,11100,2016-7-24,10700
2016-11-28,防老剂TMQ,12500,2016-7-25,10300
2016-12-5,防老剂TMQ,11499.93,2016-7-26,10300
2016-12-12,防老剂TMQ,11499.93,2016-7-27,10300
2016-12-19,防老剂TMQ,14700,2016-7-28,10300
2016-12-26,防老剂TMQ,13000,2016-7-29,10300
2017-1-2,防老剂TMQ,14700,2016-7-30,10300
2017-1-9,防老剂TMQ,14700,2016-7-31,10300
2017-1-16,防老剂TMQ,15500,2016-8-1,10500
2017-1-23,防老剂TMQ,12400,2016-8-2,10500
2017-1-30,防老剂TMQ,13800,2016-8-3,10500
2017-2-6,防老剂TMQ,15800,2016-8-4,10500
2017-2-13,防老剂TMQ,11100,2016-8-5,10500
2017-2-20,防老剂TMQ,15300,2016-8-6,10500
2017-2-27,防老剂TMQ,16300,2016-8-7,10500
2017-3-6,防老剂TMQ,12051,2016-8-8,10600
2017-3-13,防老剂TMQ,12051,2016-8-9,10600
2017-3-20,防老剂TMQ,12051,2016-8-10,10600
2017-3-27,防老剂TMQ,16000,2016-8-11,10600
2017-4-3,防老剂TMQ,15500,2016-8-12,10600
2017-4-10,防老剂TMQ,15800,2016-8-13,10600
2017-4-17,防老剂TMQ,14496.3,2016-8-14,10600
2017-4-24,防老剂TMQ,14600,2016-8-15,10500
2017-5-1,防老剂TMQ,15000,2016-8-16,10500
2017-5-8,防老剂TMQ,16146,2016-8-17,10500
