Episode,Actor,Total_Reward,Actor_Loss,critic_Loss
0,0,-304903.2412109375,127187876.0,3303057576.0
0,1,-273321.1640625,63347993.875,2629229296.0
0,2,-261952.94677734375,138293620.5,2834732958.0
0,3,-268836.3515625,327255477.0,2504376296.0
0,4,-291812.310546875,94753648.5,2989574912.0
0,5,-238055.52880859375,276520984.0,2119161952.0
0,6,-297312.7607421875,187882008.0,2924912224.0
0,7,-299170.7392578125,531384898.0,3198846352.0
1,0,-290000.0,43146498.0,2901751864.0
1,1,-276007.5205078125,279825235.0,2764417808.0
1,2,-276051.26953125,99943510.0,2984934320.0
1,3,-257999.70947265625,115410927.0,2442199172.0
1,4,-264396.4677734375,222902744.5,2619849632.0
