Episode,Actor,Total_Reward,Actor_Loss,critic_Loss
0,0,-306158.2890625,266937355.0,3492672728.0
0,1,-250706.30590820312,51209714.5,2353352885.0
0,2,-285602.369140625,113051026.75,4050942520.0
0,3,-258330.07006835938,119627219.5,2713426618.0
0,4,-292721.2998046875,264352585.0,3004243968.0
0,5,-256850.7099609375,388680366.5,3027267066.0
0,6,-263653.56884765625,102736236.25,2541700462.0
0,7,-292508.48046875,195718226.5,3053317344.0
1,0,-242943.33154296875,525023510.0,2361096012.0
1,1,-283297.3603515625,99745785.5,2761488440.0
1,2,-275660.29052734375,51862593.0,3849690057.9716797
1,3,-273227.1201171875,99687046.0,2572958156.0
1,4,-315110.259765625,168004695.5,3735848696.0
1,5,-243017.029296875,232422403.5,2228072784.0
1,6,-281109.001953125,171375900.5,2926150780.0
1,7,-261239.55712890625,114393095.25,2399214136.0
2,0,-275491.4697265625,725317766.0,2648781152.0
2,1,-288105.68994140625,59638435.75,2869976656.0
2,2,-246219.73095703125,100769955.25,2188306952.0
2,3,-270702.9797363281,238844180.5,2644034708.25
2,4,-286358.33984375,188888352.0,2817214940.0
2,5,-281547.7001953125,75537660.0,2775386648.0
2,6,-280729.890625,100013773.25,2669878796.0
2,7,-232304.88916015625,152533194.0,2090818341.4140625
3,0,-290837.1767578125,345137426.0,2904476064.0
3,1,-288494.548828125,80701523.75,3749930496.0
3,2,-251398.16015625,158108754.5,2222612360.0
3,3,-283181.009765625,323878301.0,2779144430.0
3,4,-243302.72119140625,128685699.0,2317338112.0
3,5,-263119.9990234375,139984879.0,2342380392.0
3,6,-245956.197265625,134451220.5,2321272478.75
3,7,-278901.23046875,65538370.75,2668591416.0
4,0,-287508.6298828125,98211758.25,2993719768.0
4,1,-249445.31640625,288203747.0,3938549216.440262
4,2,-249510.912109375,83069787.5,2210266888.0
4,3,-302498.62109375,127567916.0,3427034560.0
4,4,-254157.25146484375,205015785.0,2302290963.0
4,5,-261492.4619140625,192205426.0,2455839547.125
4,6,-296271.681640625,213920745.5,3222328076.0
4,7,-285519.169921875,162957343.0,2827876474.0
5,0,-289658.23046875,221665112.0,2859168920.0
5,1,-290113.7998046875,223154720.5,3005843878.0
5,2,-290000.0,371516110.0,2827125392.0
5,3,-299303.341796875,225204697.0,3078912056.0
5,4,-270835.0712890625,308523711.0,2498695008.0
5,5,-200879.130859375,216393504.0,1685410730.6875
5,6,-270156.71923828125,240769521.0,2782358836.0
5,7,-302750.80859375,108422372.0,3097775088.0
6,0,-303818.5517578125,138965140.5,3200703056.0
6,1,-276523.740234375,88413412.25,2625757440.0
6,2,-277381.169921875,94612883.5,2824417029.5
6,3,-230937.08056640625,82962109.75,1970141509.0
6,4,-287805.3310546875,233946529.0,2799590496.0
6,5,-266391.20703125,162944097.5,2482390254.0
6,6,-252197.8916015625,271433503.0,2242924151.0
6,7,-261709.68212890625,160441257.0,2420363856.0
7,0,-264824.1492919922,139619880.5,2627092488.0
7,1,-298825.419921875,223311206.5,3172095120.0
7,2,-254748.3603515625,139702197.0,2462628424.0
7,3,-266896.67919921875,177457244.5,2806113349.0
7,4,-217374.55810546875,82768295.25,2104647545.9019775
7,5,-250904.0673828125,65203877.25,2255585341.0
7,6,-285647.4091796875,250376937.0,2861813504.0
7,7,-226589.39819335938,236617650.5,1937584109.0
8,0,-234044.369140625,201675923.5,2425423924.841797
8,1,-292691.390625,185302222.5,2918805960.0
8,2,-288610.4404296875,130722794.5,2852416864.0
8,3,-276894.20947265625,238054877.5,2612867664.0
8,4,-266666.3505859375,94647996.0,2432671800.0
8,5,-280066.869140625,185320309.5,2813762844.0
8,6,-213089.72998046875,131897382.0,3437282751.890625
8,7,-232615.921875,92517172.25,2107406450.0
9,0,-285951.45263671875,321047853.0,3221461410.125
9,1,-248740.25048828125,176484724.0,2294426870.0
9,2,-274175.2998046875,286259004.0,2611250040.0
9,3,-242836.1796875,207458018.0,2425644768.0
